target_text,source_text,page_number
La lla'pa mhimpai-muanatga pa mlia lla' pa muottiarga la nohoni-raini.,You take care of him and bring him safely to his home.,10
"Omlia la' de nakota hya'a de omliernohora, omliernohora lirni maka ha nakot o'oa ma mhimpai-muanatga eda di totpena nmormiori-ndardiar pa lla'awa nohoni-raini.""","You go and obey whatever he says, bring him home safe and sound.""",10
Noka nawliohortarga happe'a pa nha'atla hruilarna du'urnu wawannu pa hruilarna nodia pa nma npalwia.,Then the younger brother said good-bye to the old woman and got on the back of the sailfish and the sailfish carried him away.,10
Ne happe' di nwawa Rahrurmetma-Rarlelkialwa.,This old woman's name was Rarhurmetma-Rarlelkialwa.,10
Noka Hruilarna nora Rettiau Ru'ru rpallia tah'i ulti de rma rpallia Railawan nora Yotwawa rletni.,The sailfish and Rettiau Ruru sailed on top of the water between Timor and Kisar Islands.,10
Pa rpallia noha rletni dewade hruilarna napallia Tranan pa ntena rurni-laini la'a Railawna walli Tipru pa nteretia tutnu pa npandoin la pa tutnu de nwawa Nohmehi.,When they were between the two islands the sailfish faced south to try and see if he had enough power and strength to tear apart the east end of the island of Timor named Nohmeni.,10
De hruilarna nten rurni la eda de.,The sailfish used his strength to do that.,11
Noka nwali doini pa nnehna Yotwaw pa de Yotwawa ndiwdiwra pede Yotwawa wo'orni ndella walliwalli na leta etla noha letgarni.,"He turned around and faced/headed toward Kisar Island, and so Kisar shook. Because of this Kisar's mountains are at the edge of the island and the villages are in the middle.",11
Noka nnehna Ra'i wia pa lla'awa Romna-Wiatan della pa nweyat la Romna walli warta pa Nohyata Roman dewade nwalidoinia la pa nmaiwa Nohaumetam pa nhi'doinia Nohaumetam pa nweyat la Roman pa nmaiwa Maupor wa pa ntereti Roman.,Then the sailfish headed north to go to Roma Island to destroy the west side of Roma. The result of this is the island of Nohyata. Then he turned around and came to Nohaumetam to finish it off. Finally he came to Maupor to violently attack Roma.,11
"Dewade Rettiau Ru'ru nakotla: ""Hadewa.""","Then Rettiau Ruru said, ""That is enough.""",11
Hadi edonna.,"Do not destroy this one.""",11
"""Itnehnateka Tranna.""","""Let us just go south.""",11
Noka rnehna Tranan de rmaiwa Leti wa.,Then they went south and came to the island of Leti.,11
"Rmaiwa Leti wa dewade de Rettiau Ru'ru niwra: ""Aitia'a eda di.""","When they got to Leti Rettiau Ruru said, ""No, not this one.""",11
"Noka Leti ramta'at pa Leti riwra: ""Yana mpueyat noh di na nanpena mpei-mnara Lgona upni Lgona a'nani pa rmai nanpena amdudni i'ina ma mpoknihi tgo'a la.""","The (people of) Leti were afraid and said, ""Do not destroy us, wait, when Luang people come here we will serve them fish and cider.""",11
"Pede noha di nwawa Tun i'ina Kalorni yoma ndudni 'ina-nwoknihi tgo'a, riwra kalura.",So this island was named Tun i'ina Kalorni because they cut up fish and poured palm cider which they call kalura.,11
Leti riwra rkalura de ita'ana i'in matmata pa ita talla temna tgo'a.,When Leti people say rkalura it means they eat raw fish while drinking palm cider.,11
"Noka rrora rmaiwa pa rlol Mo'a noma Rettiau Ru'ru niwra: ""Aitia eda di.""","Then the two of them went by the island of Moa and Rettiau Ruru said, ""No, not this one.""",11
Noka rmaiwa Lakur de Lakru namta'ata pa nru'u la yawa pede Lakur nakleha wo'ora-kawru ne rai mtatanni.,Then they came to Lakor Island. Lakor was so afraid that it looked down so as a result the island of Lakor (today) has no mountains.,11
"Noka Rettiau Ru'ru niwra: ""Itnehna Ra'i.""","Then Rettiau Ruru said, ""Let us head north.""",11
Noka rnehna Ra'i wa pa rokur Dam pa.,Then they went north heading toward Damar island.,11
Rla'awa Dam pa dewade nweyat la Dam pa.,They went to Damar and caused destruction there.,11
"Dewade Rettiau Ru'ru niwra: ""Hadewa, ma Lgona atia'a hadi.""","Then Rettiau Ruru said, ""That is enough, this is not my island.""",11
Noka rnehna Tranan wa.,Then they headed south.,11
"Rnehna Tranan pa rmaiwa dewade Rettiau Ru'ru niwra: ""Anoh'u eda de inahati.","They headed south and came (to the island of Luang) and Rettiau Ruru said, ""This is my own home.""",11
"Mupnial lia handi na na agerun pa ailia umkeka u'pu.""","Harbor here so I can get down and go see my grandmother.""",11
Nmaiwa.,He came.,12
"Nmaiwa mel di wa pa nma lla'a nkorkora upni hniarni noka upni niwra: “He' o'a riy'u nei, u'upu nmati nmolu olek la hletan lawan pa yana mmiai pa mpiutra-mpialka a'u.”","When it was night he went and knocked on his grandmother's door and she said, “Who are you? My grandchild died in the deep sea so do not come and try to deceive me.""",12
"Noka upni (Rettiau Ru’ru) nakotla niwra: “Upa a'ge hadi la, a' inahati pa amwaiwa pa mhwari hniari.”","Then the grandson (Rettiau Ru’ru) said to her, “Grandma, it is I. It is really true that I have come back, so you can open the door.""",12
Noka upni nhari hniari pa lla'awa rialam pa.,Then the grandmother opened the door and let him in.,12
"Noka nwahaurnohora la upni niwra emkadi-emkadi rtota-rwudi a'u pa emkadina-emkadina, nwahaurnohora.",Then he talked all about how he had been deceived in various ways.,12
"Noka niwra: “Erla meni upe?""","Then he asked, “Grandmother, where are they?""""",12
Noka upni niwra: “Rrora rmehlim pa e rawoka mak kmehlima.,"His grandmother said, “They are getting married and they were gathering for the wedding party.""",12
"Mel di e rawoka- raleʼega ra.""",This very night they are gathering for it.”,12
"Noka Rettiau Ru’ru niwra: “Upa mua'ala a kdie'lu di pa mukdielia pa modi mlia llaʼpa mtiot pa mpuikir wa'du.""","Then Rettiau Ruru said, “Grandmother, you take my ring and wear it and go to peel the wa'du, (home made candle).""",12
"Yoma ululu de edonna rnair lampu rhi' to'a wa'du, rhi’a wa'du wniewra.","Because a long time ago they did not have lamps, they just used something called wa'du. They made twisted wa'du.",12
"Kohapio'o la, waʼdu riawna pa rtuʼtua pena rala peli rawah'a pena rtu’tu rwewra la ora-au nanpena rtutnia.","They took) kusambi seeds, castor oil plants and pounded that together then mixed it with kapok. Then it was pounded some more before twisting it all together around bamboo or wood then it was lit.",12
Rtutnia pa riy rla' demade rwikri-rwikria ha' idni imanni.,They lit it and that( the coil) was peeled open to clean out the ashes.,12
Pa happe'a lla la'pa ntotpa nwikirwa’du imanni la patke' di gaini.,So the old woman went to peel the wa'du in front of the girl (younger brother's wife about to marry older brother).,12
Totpena okarni maka kdieli hande la di nalla nwikir wa'du totpena patkeʼa namkeknana kdieli.,The finger which the ring was on she used to peel the wa'du so the girl (younger brother's wife now marrying older brother) would see the ring.,12
Noka happe'a lla'awa.,The old woman went.,12
Lla la'pa natiak wa’du wnikarni la patke' di gaini.,She went to keep the wa'du burning in front of the girl.,12
"Noka patke' di namkeka nana kdieli dewade nwarora niwra: “A kdie'lu hadile.""","Then the girl saw the ring and thought, “That is my ring.””",12
Mere edon nakota hadoma na nruʼuwa.,"But she did not say anything, she only bowed her head.",12
Pena happe’a nwikri wa'du pena patke'a namkek nana kdieli demade nruʼuwa.,Then the old woman peeled the wa’du. The girl saw the ring but only bowed her head.,12
Emkade mammain nek pa reʼeni wotelu ma ha noka edon nakota hadom pwali noka happeʼa nmaiwa.,This happened three times and she never said anything. Then the old woman came back.,12
"Happe'a nmai pa nakotla upni dewade upni natiana: ""Emkameni up e?""","The old woman came back to talk to her grandchild. When she arrived home he asked her, ""How did it go, grandmother?""",13
"""Up ei ailia lla' pa awikir wa'du pa namkek toto'a kdie'lu mere nru'u, edonna nakot hadom pali na re'eni wotel noka amuaiwa.","""Hey, Grandson, I went and peeled the wa'du, but she just looked and bowed her head and said nothing. This happened three times and then I came home.""",13
"Edon nakot hadoma, up ei ha nhoratdoini olek o'o wa.","""She did not say anything. She has already forgotten you,""",13
"Yoma nora makre'a-maktaru rmehlima-rmarya'a pa nhoratdoini olek o'a la pa yana mhoratrer neka wa.""","""because she is going to marry a wealthy man.""",13
"Noka Rettiau Ru'ru niwra: ""Upa ailia'awa.","'Then Rettiau Ruru said, ""I'm going.""",13
"Ailia'awa na pena mukekrer nek la wa.""","""Later you will see what will happen.""",13
"Noka nmaiwa pa nha'atla hrui wawannu na'nama nakotla hrui niwra: ""Dodo'on di de mtierieti noh dilla.","'Then he went and got on the sailfish and said to him, ""Now you can cut apart this island.""",13
"Mpeyata-mpuaniawua noh di totpena noh di kukku'a-kekke'a loloha-tawtiawua, yana ntul kotni yana nwaw nanni.","""Destroy this island so that it is small and not proud.""",13
"Mpeyata-mpuaniaw meman noh dilla.""","""Destroy this island!""",13
"Noka hrui nakotla: ""Had emkade de mtiorer pitpitu.","'Then the sailfish said, ""If that is the way you want it, hold on tight!""'",13
"Muawurrer pitpitga a'u me totpena auweyat noh di.""","""Hold on tight so I can destroy the island.""",13
Dewade ntorer pitpitu hrui du'urnu wawannu na'nama nterwa.,'Then he held tightly to the sailfish's back and the sailfish took off leaping into the air.',13
"Nterwa dewade nalla Metutnu pa nalla Dona Liakra pa nalla Hawna, Kpuri Ttiata dewade Lgon di rruru.","'He shot off hitting Metutnu then Dona, Liakra, Hawna, Kpuri and Tiata. Luang shook violently!'",13
Rrur pa riy honnona ramta'at pa rawkikni-raplialin mommuou wa.,"'When it shook, all the people were so afraid that they all fled and went to other islands.'",13
"Rtikildoinia-rhaldoinia noh dilla pa makla'awa Herna, makla'awa Papu'a, makla'awa noh paheli rai pa tatra re honnona pa noh di nahgali wa.","'Some went as far away as Seram and Papua, while others went to neighboring islands so that the island of Luang was deserted.'",13
Ne upni mana namta'at wal wia.,'The grandmother was also afraid.',13
"Upni niwra: ""Idei u'upnu hihi'ini-yapyapni hadi, hota nweyat noh di, pa ailia wuahaka.""","'She said, ""Oh no, this is my grandchild's doing. He is going to ruin this island. I will go and find him.""",13
Noka upni nerunwa.,'Then his grandmother went down (to the shore).',13
Upni nerun pa la'awa Gain Tutnu dewade de hrui mana nter pa nnehn oleka Tranan pa nawalia pa niwra napallia Tia'ata totpena ntereti owa'ana Ttia'ata demade nal owa'an la Nohinni.,'She went to the beach and headed towards Gain Tutnu. Then the sailfish took off heading south and turned to face Tiata in order to break apart Tiata and then take on Nohinni.',13
Dewade upni ed olek la Gain Tutnu.,'The his grandmother was already at Gain Tutnu.',13
Pa hrui niwra nti'ila pa napali Ttia'at wa dewade de nanaur pa nwak lili-maumuau la upa hrui pa nadia'du pa npollia upa hrui niwra:,"The sailfish turned around to face Tiata. (The grandmother) was chewing betel nut and she pleaded to the sailfish for help. To stop him from destroying the island, she called to him (singing this song):",14
"Wawaw rara Surriai, awuaw raraoo Surriai ei,","My name is Lady Surriai, eh",14
"Aweda rara Lelriai,","My name is Miss Lelriai, ne'",14
"Awuaw rara Surriai, ma upriri oo liltutnu ei,","My name is Lady Surriai, come to stand on the shore's tip, eh,",14
"Aweda rara Lelriai, ma ukded la Ilgaini ne,","My name is Miss Lelriai, come right up to the point, ne;",14
"Ма upriri lia Iltutnu, polpolu up oo srui ei,","I come right up to the edge of the sand to ask a favor of grandfather sailfish, eh,",14
"Ma ukded la Ilgaini wuakwak a’na awalana ne,","I come right up to the edge of the sand to ask a favor of the fish's child, ne;",14
"Polpolu upa u srui, yana mpue oo yat noh ei,","I ask of grandfather sailfish, do not destroy this island, eh,",14
"Wuawak ana wlana'a, yana mpuaniawu rai ne,","I ask of the moon's child, do not crush the world, ne;",14
"Yana mpue yat noha, mkeitar tutnu oo id ei,","Do not destroy this island, leave one end, eh,",14
"Yana mpuaniawu rai, maltary laini ida ne,","Do not crush the world, leave a small sliver, ne;",14
"Mkeitar tutnu ida, tutnu id oo pa hgol ie,","Leave one end for me to stay, eh,",14
"Maltaru laini ida, laini id pa yleta ne,","Leave one strip for me to live, ne;",14
"Wawaw rara Surriai,","My name is Lady Surriai, eh,",14
"Aweda rara Lelriai ne,","My name is Miss Lelriai, ne.",14
Dewade naldoini knamni la wawni ralamni pa nnaklu la upa hrui wa dewade upa hrui nkeranwa happe'a mana nkeran wal wia pa nwallia watu pa etla Gain Tutnu de nru’rer lia yawa.,Then she took out a piece of betel nut from her mouth and threw it at the sailfish. Then both she and the sailfish turned to stone. She is there till this day still bowing her head.,14
Nhoruwa.,The End.,14
"Anni ida, patke’a nanni Oktovina nora kakni muanke’a a’nani patkeʼa lawna woru, ri’ida nanni Mina, ri'ida nanni Jakomina, muankeʼa ida wali nanni Godtlifa.","One year, there was a woman named Oktovina and her male siblings two grownup female children, one named Mina, one named Jakomina, and also a male named Godtlifa.",14
"Godtlifde, Oktovina a'nani gari pa la'a rerunla rwahaka krita la Lailiawna, Tamta onni.","This Godtlifa, was Oktovina's youngest child and so they went to sea to look for octopus at Lailiawna.",14
Rla'wa la'a Lailiawna dewede inni Oktovina nora patke'a rrora rerunla.,They went to Lailiawna then mother Oktovina and those two girls got down (off the boat).,15
Rerunla Lailiawna pa irwotelu rwahaka krita.,They got off at Lailiawna and the three of them searched for octopus.,15
Ir'rhopna Godtlifa te'ena loi pa nalaullia Tamta.,"They told Godtlifa to pole the canoe, to go ahead of them to Tamta.",15
Irwotelu tepartarlia krita wnyahakni dewede metimana napra.,The three of them were absorbed in the search for octopus then the tide also began to rise.,15
Lerdede irwotelu lernana krita liawanni dewede irwotelu rahlera krita la keranni.,"On that day the three of them had gotten many octopus, then the three of them threw their octopus on the land.",15
Tepartarlia yala'a dewede wauwau nmaide merannidi nokru Upahrui.,They were in the process of walking when the current came with great strength heading for Upahrui.,15
Irwotelu ta'eni thannana wauwau dewede irhoplia la krita makra'enniana hanona.,"The three of them could not stand against the tide, then they threw away all the octopus which they had gotten.",15
Irwotelu rnanlia Upahrui mera lerdede inni Oktovina nora Mina ta'eni rnanniana.,The three of them swam for Upahrui but at that time mother Oktovina and Mina could not swim.,15
Dewede inni Oktovina nora Mina teprerunla tah'i mera Jakomina narurlia niani pa lernana Upahrui la keranni.,Then mother Oktovina and Mina sank into the sea but Jakomina was strong at swimming and got to the land at Upahrui.,15
Noka na'ala aranni samomou dewede nha'atla tutuwawannu mera donna namkekanana ra.,Then she took a good breath then climbed up to the top but she could not see them.,15
"Ir'rora rteprernu olekwa dewede Jakomina nkakurwa, nhawnu, yoma inni Oktovina nora Mina rmati olekwa.","The two of them had already drowned then Jakomina cried, and shouted because her mother Oktovina and Mina had already died.",15
"Lerdede puou, loi, idmana edonna rlereti, noma leramana nheriawa.","That day not even one boat or canoe passed by, then the sun also set.",15
"Lerdede Godtlifa maka kte'ennana loi pa nalaullia, naplingeti inni nora Mina rmatia olekwa.","That day Godtlifa who had poled the canoe to go ahead of them, did not even know that his mother and Mina had already died.",15
Lera ntuini dewede muanke'a ida nanni Timotius la'a Tamta.,At sun down then one man named Timotius went to Tamta.,15
Tepartarlia ntie'ena dewede inni Oktovina moratnu nmanaknyuinla te'ena.,He was in the process of poling his canoe then mother Oktovina's hair became entangled around his pole.,15
"Yei Timotius nheduma, namkeka rimatidi pa naknyaunanade inni Oktovina.","Uncle Timotius was shocked, seeing this dead person so he yelled, “Mother Oktovina.”",15
Dewede nkawi la loi makla'a Tamta pa rmara'ala inni Oktovina pa rodia la'a leta.,Then he motioned to the canoes that went to Tamta to come and get mother Oktovina and bring her to the village.,15
"Rla'wa letade, makdella leta rheduma.","When they went to the village, those in the village we shocked.",15
"Inni narni rpolu, rkakru pa rmarala, rodi inni Oktovina la roma nayanni.","The relatives were called, they cried for them to come get her, and bring mother Oktovina to the house.",15
"Paprai nhopna limarora la'a rwahaka kekenkua rwotelu, yanpa rmati olekwa.","The village chief ordered the people to go search for those three children, hopefully they had not already died.",15
"Rwahakneka pa makla'a Tamta, Upahrui, Hawna.","They just kept searching so some went to Tamta, to Upahrui, and to Hawna.",16
"Makla’a Upahrui wakriani keranni, Jakomina namkeknana dewede npolu pa marala.","When those that went to Upahrui came close to the shore, Jakomina saw them then called them to come get her.",16
"Maralade nkakrunande, noka iratiana Godtlifa nora Mina erlameni?","When they came and got her she was crying and crying, then they asked, ""Where are Godtlifa and Mina?""",16
"Noka Jakomina nakotniwra Godtlifa etla Tamta, Mina nora inni Oktovina ta’eni rnanni pa irrora rmati olekwa.","Then Jakomina said, ""Godtlifa is at Tamta, Mina and mother Oktovina could not swim so they already died.""",16
Noka maklakala Jakomina rakotniwra inni Oktovina lernana olekwa.,Then those that went to get Jakomina said that they already found mother Oktovina.,16
Noka irodia Jakomina pa maila'a leta.,Then they brought Jakomina and came to the village.,16
Rmai la leta dewede iralernu Jakomina noka rawalio wa'ana pa la rwahaka Mina.,"They came to the village, then they let Jakomina down then they returned again to search for Mina.",16
Irte'ena pa rokru Tamta.,They used a pole to push their boat toward Tamta.,16
"Limarora makla’a Tamta rodia oleka Godtlifa me limarora makla’a Hawna, Kpuri.",The people who went to Tamta already brought Godtlifa and the people who went to Hawna and Kpuri.,16
Tepartarlia wnyahaka mera ira edonna lernanetia.,They were in the process of searching but they still had not found anything.,16
Noka ira walpia rmaiwia leta.,Then they returned back to the village.,16
"Repardoin yawyawra ma’ata, rhakretia limarora makwarini pa rtamin mati (inni Oktovina), makla’a rwahaka Mina.","Early the next morning, they divided the people; those to stay behind to bury the dead (mother Oktovina), and those to go search for Mina.",16
Irwahaknekpa normar lera owa’ana.,They just kept searching till the sun set again.,16
Dewede makdella Tamta irmai eniwawanu noka ramkekde (Mina) nanyewa la eniwawanu.,Then those who were at Tamta came to the beach then they saw that (Mina) was rolling on the beach.,16
Noka irala pa rkenia la loi rodia maila'a leta (Lgona).,Then they got her and put her in the canoe to bring her to the village (Luang).,16
"Rmaila leta, irayapi lumni pleta pleta pa irla’a rtamni yoma nahuwu olekwa.","When they came to the village, they made a coffin in order to quickly bury her because she already smelled.",16
Hare matmiatni lerdede inni narni rsusdoinla.,The relatives were extremely distressed by the tragedy on that day.,16
Yahoamde Godtlifa nora Jakomina rkakru lelera melmela.,"What is more, Godtlifa and Jakomina cried day and night.",16
Nhorwa.,Finished,16
"Ei, Matromlawnu ne, Orgahi Orha'a, Uplerlawna Mempulwatnu.","Oh, our Lord, Lord God.",17
"O'etla gentutulu-watliolo'ona, Ilwio'itu-Darwonema, Ilyamou Watyatoha.","You are in the highest, in Heaven.",17
"Mere dodo'ondi de, aghoi lia kotmu-awetla nanmu, apualu-wuak tiy O'a, ghoi idma rrama lia'ara, totpena muheri tlinmu-mutatar matmu, mutlina-mutaili, mlina-muata reria ami lia noh kerna-rai kieran di wawannu.","But now, I say your name, I pray to you, I worship you in order that you will listen and see us who are on this earth.",17
"Apuolu-awuak tiy O'a totpena mhilpai-muanatu, muhlili-mulakma, muyori-mudari ami lia riy ornoha-orrai di.",I pray to you in order that you take care of and watch over us on this earth.,17
"Mudopardoini-muhaldoini nyeni-nyhena, rinni-kniahra maiya ami.",Take away disease and plagues from us.,17
Mitieridoini-muhaldoini yotyotni-yatyatni maiya ami.,Take away evil from us.,17
"Muala amormior mamni pa nawerna-naplahwa, ammorniana a tup mamni, amlawannana a liawan mamni, la'pa amlerla mto'a-ppe'a nihtuini-mortihamra, lli'ina ndahla-awu npo'pa nanpena Orgahi-Orha'a mhoi lia mkot mamni-mpetla a nan mamni mtieman la a lim mamni miriyhamilla a dopal mamni.","Give us long life so that we will live a long time until we are old with white teeth and fallen teeth, then God will come and call our name.",17
"Ampolu-ampak tiy O'a totpena mhilpai-muanatga a' in mamni nar mamni, a' am mamni hyali miamni la'a a noh mamni raiy miamni, totpena lera idpa am idma nwatroma-ntahnei id de, ama'uli mawedi reria o kotmu-o-nanmu.","We pray to you in order that you take care of our relatives on this earth of ours, so that on the day we meet each other we will praise your name.",17
Mho'doini-mhaidoini a do' mamni-hal mamni.,Erase our sins.,17
Polpuolu mamni-wakwak mamni di de amheli-mpapna he' dilla a'namu Wutmeha-Laimieha.,This prayer of ours we are connecting to the one whose name is the one and only heir/son.,17
Totto'a (Amin).,True.,17
"Ina-ama, Ina-nara, makle'lu-makdalwa.","Respected elders and relatives, those who are gathered around.",18
"La' lera Orgahi-Orha'a Uplerlawna Mempulwatnu Nakoki-nayapia, Nakoma-napala, Nhedruh'a-ntaplihi it upni-tgarni Wuwtian wioka-Lai tian miera nora Ruh meh inni-Uh mueh riwni.","At one time the Lord God created, formed, put together our ancestors Adam [lit. gathered dustgathered red clay] and Eve [lit. one rib only mother-only rib].",18
Nhornioma Ntera-ndema la kalwiedni-paitiotni.,Then he took care of them with peace and blessings on every side.,18
Wuwtian wioka-Lai-tian miera nora ulwualli-tnialwialli de rmori-rdarlia il wiyo'riwnu-gen wio'mara.,Adam and partner/pair (Eve) lived in paradise.,18
La' noma hegana amlawanni ralamni namehra la it upni-tgarni rrora rmori-rdarlia pripanni-fa'anni ralamni.,Then the devil was jealous/angry at our two ancestors who were living in blessedness.,18
Noma hegana nawiru-nawalia inonnila Tok mier wu'u-Ni' mar rahlu pa nodia nur siawortra-namsale'u la Ruh meh inni-Uh mueh riwni.,Then the devil turned his body into a snake (lit. reptile red spying-snake yellow) in order to bring deceit to Eve (lit. one rib only mother-only rib).,18
Noma nwotra-le'niana Wuwtian wioka-Lay tian miera pede rlerla matmiati-molmuolu hoho'a-tawtiawu la'pa ralumni rakietra la Up rar noha-Rar rayi nora kodni awnu-topni-tanni owa'ana.,Then he deceived Adam so that they received death which resulted even in being buried in the earth and becoming dust again.,18
"La'pa it upni-tgarni yatotni-yarieini emkade ho'mana, Orgahi-Orha'a edona Nolin lima-nwe'er-rorni la Wuw tian wioka-Lai tian miera kotnu-turnu gerni-wniaunu.","Even though our ancestors were tempted like that, God did not stop taking care of Adam's descendants (Lit seminal fluid water-exchange).",18
La'pa Kain nkaklia po'a-liwra manga garni Habel pa nok rara-nwaltie'eni.,Time went on till Kain hit very hard Habel till he died (lit. blood came out-turn into feces).,18
"La'pa Habela aranni naprir niohora tniunu hniaranni-odawni la'pa natipu-natnian lia Orgahi-Orha'a Uplerlawna-Mempulwatnu makdenla Ilwo'itu-Darwionema, Ilyamou-Watyatoha.","Then Habela's sacrificed life (death) was a witness crying out to the Lord God who lives in heaven (lit. One who owns all, the great grandfather sun the most precious jewel/stone who dwells at the sixth or seventh level on the pure mountain/land-set apart rock).",18
Noma Orgahi-Orha'a Uplerlawna Mempulwatnu Ndi'na Kain yeheni-lowa Kain hlorni.,Then the Lord God sent Kain away for good [lit. completely washed out Kain's footsteps.,18
Mere la'pa Kain nwaktarlia pa lergotwa noma Uplerlawna nhonnia Kain reranni.,But when Kain was about to leave then God put a sign on Kain's forehead.,18
Puka lirni enakota de Uplerlawna edona nhortaplinga lir mak ha nakota.,The book/Bible says that God does not forget the words/promise he has said/made.,18
Nomlerni de enakota la'a Wuwtian wioka-Lai tian miera niwra: Mi'upa-mi'a'na totpena mipenga noh di wawannu.,"Long ago he said to Adam: ""Bear children and fill the earth.""",18
"Mere la'pa rimormiori re rpeh mutliawna-rlawan ketiaru, noma kleh ya'unna-yamta'ata la Uplerlawna-Mempulwatnu pa la'pa nte'ela Up Nuh tuwnu.","But when those people multiplied, then they did not have respect for God until it reached until Noah's time.",18
Noma Orgahi-Orha'a Uplerlawna ritie'era lyanti pa ger otna naktiowru me nha'apre'era noh marna pa ger ormata roplia riwriwu-hararna.,Then the Lord God split apart the heavens so rain fell down and stepped on the earth so the springs of water would flow.,18
Noma narieniande rimormiori rlerla kowlora-pah'a meti.,Then he caused people to reach to destruction.,19
Mere Uplerlawna orgahani sniayanni pa Nala konkona-aupuali na nalewna Nuh nor hawni-a'nani.,But because of God's own love therefore he took a boat to save Noh and his wife and children.,19
Rimormioria riwnu-halli re enekneka Orgahi-Orha'a ntawdioinia rimormiori re wo'awa pa rtikilrerlia yehtan miera me rhaparrerlia hlor wewnihi.,The multitudes of people (were not saved) except God set apart those eight people to walk along the right path/path of righteousness.,19
Mere la'pa emkade ho'mana rimormiori rpeh mutliawna-rlawan keitiarwua.,But even though it was like that people increased in number and multiplied.,19
Noma kleh ya'unna-yamta'at la Uplerlawna lirNi-tunNu.,Then they lacked respect for God's words.,19
Uplerlawna orgahani Nal limni nantoreri lirNi-tunNu deulLu-tatarNi maka kahniorattarlia watu le'u pa Nala la Musa pa totpena itamkek memna mere yeher to'ame do'a-hala naitittarrerlia.,God himself used his hands to hold his law which was written on stone and give to Musa so in order that we can really see (the truth) but all the more greatly sin increased.,19
Matialo'onamde Uplerlawna takenia ntahanana.,Perhaps God could not endure this any longer.,19
Noma Nnairia rimormioria makmori-kdarlia tlin tetema-nampulwullu pa rhi'a makwohor ulu-ktatrulu la'a Wutmueha-Lai mieha hota ntopur la maiya noh marna wawannu.,Then he used people who are uncivilized (lit. people who live all ears and hairy tongue?) to become prophets concerning (the fact that) the One and Only Son/Heir will descend down to this earth.,19
La'a Lukas pukni de e nwahaur nohora la lerni ha rtora Yesus la krahana Betlahem.,In Luke's book it talks about the time that Jesus was born in the Betlahem stable.,19
"La'pa itatlina lira niwra: rtora, nnia'eratni de rayoria onde rmoria.","When we hear the words saying, ""rtora,"" its meaning is bear or give life/birth.",19
Mere la' pa'etnu de nhi'inde yawala Lgona lir ina-ama riwra: Wutmeha-Lai mieha Ntopurla noh marna wawannu.,But in the traditional culture in the Luang language of our ancestors they say: The One and Only Son/Heir descends on the earth.,19
Emaknekame Lgona ra'aplinga lir maka kiwra: na'nama e rtor papayi id de nwaw Yesus.,It is as if the Luang people do not know the words like this: just then a baby named Jesus was born.,19
"Yoma emaknekame Lgona e ratniohor de Yesus maka na'nama ha rayori de, Wutmueha-Laimieha e inhatte.","Because it is just like Luang people know that the one who was just born, was the true One-and Only Son/Heir of a king.",19
Yoma la'a hya'a?,Why was that?,19
"Pede Lgona itakot emkadena, de onnila lerni upa-wlada rma rhu'ula ita tlinni-twer it matni, de rala Yesus nanNi me rwatut itla pniaki la puka ralamni de, riwra Yesus di, de rmor hya'dilla Betlahem la' noh makden warta roo!","We Luang people say this, because in the time of our ancestors the ancestor westerners came and put holes in our earth and opened our eyes, that-is they gave us Yesus' name and they taught us how to read the book, they said this Jesus, he was born in Betlahem on an island in the far west.",19
"Mere nomlerni, la noha nhera-rayi nwanni, illi npoka-watu npetu, de lir in-ama riwra: hiwi naro'wa pitga terannu la' kuranni, me ahu nayamarlia diadallu.","But long ago, when the earth was young/newly created, the boulders and rocks were breaking apart, in our ancestors words they would say: the chicken lays strongly its egg in the nest, and dogs are tamed from the chains.",19
"Itla maiye Lgona-Mdona, Nohlumni-Ray Mietma, Watga'illi-Let Ra' leta, it mori-tdarlia melmellikalkalamni. Mere la'a rima-rima illi-watnu de nu'nu mutu-natar leta er olekla wa.","We here in Luang (Luang Sermata, Island swallow-Land dark, Rock mountain face Village north?), we lived in darkness. But on every rock there was a banyan tree and a village already.",20
"Tui nakota de la'a itla Lgon di, de ratu rwatniarla lyanit marna pa rhoilia wunu-rtanlia lera, la roma polwunu-waklera.","Our history says that concerning us our Luang ancestors knew how to pray (lit. bow to the sky and cry out to the sun and moon), in the praying house.",20
"Hade edmaka karurnian itla it hnia'argeni, pa itakot nohor walia Wutmueha-Lai mieha ha lollola.","That is what strengthens us in our position, so that we can also talk about the One-and Only Son's affairs.",20
Miai pia tal it yawala Lgonni ta takot nohora Yesus Makamori-kalewan de!,Come let us use the Luang language to talk about Christ Jesus!,20
Emaknekam de Makwohorullu-ktatrulu Mika wniahaurnu yanullu me ntatra yatnianila Samaria me Yerusalem de niwra: Makden nohkerna wawannu honomi mitlina: Orgahi-Orga'a makdenla tutullulolo'oni hota nma Ntutrer wial pia miora mihuri-wiwo'ora.,"Just like the prophet Mika's chapter, ""One's crying over Samaria and Yerusalem saying: All of you on earth listen. God who dwells in the highest will come and stand to war with you.""",20
Tniatar lirni re'eni wotellu de niwra e Nwatiauwua hititni-lomomarni pa Nernu.,The third verse says that He will come down from glory.,20
