source_text,interlinear_gloss,target_text
so I have to meet her.,so(IND) 1SG must(IND) go-1SG meet tag with 3SG,jadi ja'a harus la-ku paraga ku dènge nèngu
I still do not know where she is now.,1SG 1SG-know not 3SG LOC where PROX.SG PART,ja'a k-e'a boe nèngu ètu mia ne'e na
"for the name Santi, I do not know where she is.",REL name 3SG.CL Santi PART 1SG 1SG.know not PART place LOC what,dhu ngara na Santi na ja'a ke'a boe na era ètu ngaa
"so I hope, we need to be patient a bit.",so(IND) 1SG ask 1PL.in patient(IND) little,jadi ja'a manèngi èdhi bersabar ciki
so that I am going to meet her.,so.that PART 1SG go-1SG meet with 3SG,sèna ka ja'a la-ku paraga dènge nèngu
because he comes to look for her,because(IND) REL come look.for 3SG,sebab dhu mai tenge nèngu
"I bring one here, so is this she?",1SG 1SG.bring one PART this so 3SG PART PART PROX.SG,ja'a k-èti èci ka ne'e de nèngu na ka ne'e?
where is Meki?,Meki LOC what tag,Meki ètu ngaa do?
"there we go, your child does not exist",that EXCL child 2PL be.absent just,kèna uu ana miu aad'o di
"if so, then I am going to hide her again beCAUSE your son does not exist'.",EXCL PART 1SG go-1SG hide again beCAUSE child 2PL be.absent just,ee na ja'a la-ku huni hari te ana miu aad'o di
"Oh my God, what a pity'",mother 2PL pity(IND),ina miu kasian
"Madam, we are hoping to be patient a bit'.",mother ask able little tag PART,mama manèngi taha ciki do nga
we are asking again for a bit patience'.,so 1PL.ex ask again able little tag PART,de ji'i manèngi hari taha ciki si ma
"Meki is going to swim in the sea, isn't he?'",Meki go-3SG swim sea PERF tag,Meki la-'e nangi dhasi le si
I am asking for permission to go and pick my son up'.,1SG ask permission(IND) so.that 1SG go-1SG 1SG-take tag child 1SG,ja'a manèngi ijin ho ja'a la-ku k-ore ku ana ja'a
Indonesian language again',sound Malay again PART DIST.SG,lii Malai hari ka èèna
"I am not educated, Meki'. all text in Kupang Malay",mother not school Meki,mama sonde sakola Meki
"So, please understand if I am not speaking very well'.",so(IND) if(IND) language(IND) fall(IND) wake.up(IND) hope(IND) know(IND),jadi kalau bahasa jatuh bangun harap maklum
"now, you all, madams, from Oenale",like PROX.SG DUP-mother from Oenale,sèmi ne'e mama-mama ngèti Oenale
come to meet with people in Ndao and said,come meet with DUP-mother with DUP-father LOC Ndao say PART,mai paraga dènge mama-mama dènge ama-ama ètu Dhao peka na
Meki needs a helper.,Meki necessary(Mal) assistant(IND),Meki parlu pendamping
"remember, a helper, not a maid",remember(IND) assistant PART not(IND) servant,ingat pendamping oo bukan pembantu
this helper is of course called Santi,assistant(IND) PROX.SG direct(IND) say name 3SG Santi,pendamping ne'e langsung peka ngara na Santi
is this right?,what(IND) right(IND) tThis(IND),apa betul ini?
is this right? be careful that Meki is fooled,right PROX.SG PROG.NEG until(IND) Meki touch lie PART,tare'a ne'e baku sampe Meki kena tipu oo
becasue there are many Santis,Santi many(IND) PART,Santi banyak na
"so we all have heard, don't we?",so 1PL.in DUP-all 1PL.in.CL hear all PERF tag,"de èdhi aa'i-aa'i ti tadèngi aa'i le, to?"
"Santi, I want to ask.",mother(IND) REM.PL Santi ask,mama sèi Santi karèi
we here do not know anything as well,1PL.ex PART PART PART senile dark also PROX.SG,ji'i na ka oo gogoo maroga kahèi ne'e
but I asked just now and she said that this is he so it is right.,but mother(IND) ask recent DIST.SG answer according.to 3SG PART PART PROX.SG so that,tengaa mama karèi deo èèna dhaa aku nèngu na ka ne'e de kèna
but I do not ask Santi yet.,but 1SG not.yet question not.yet Santi PART,tengaa ja'a dhae karèi mèka Santi do
"so please, as we come to ask for mercy, so please ask.",so go ahead that just 1PL.ex come ask DUP-love so ask tag PART,de la'a kèna di ji'i mai manèngi sa-sue de karèi ku la
parents from Oenale come here,PART mother father from Oenale REM.PL come,aa ina ama ngèti Oenale sèi mai
"ask us as parents but we, parents, will not decide.",ask LOC 1PL.ex mother father but(IND) not(IND) 1PL.ex mother father go-1PL.ex,manèngi ètu ji'i ina ama tapi bukan ji'i ina ama la-'a
ask the one whose name is you.,ask person REL name 3SG.CL 2SG,manèngi dhèu dhu ngara na èu
,go-3SG become toward bone side Meki,la-'e j'aj'i mi rui karasa Meki
to go and become a rib of Meki for one is lost,REL lose a sheet,dhu ele ca loa
ready?,ready,siap?
"we all have heard, haven't we?",1PL.in DUP-all 1PL.in.CL hear PREF tag,èdhi aa'i-aa'i ti tadèngi le si?
that Santi is ready,REL(IND) Santi ready,bahwa Santi siap
we would like to thank you very much.,1PL.ex ask thank(IND) DUP-very,ji'i manèngi makasi ae-ae
especially Santi who has accepted our proposal.,toward above child Santi REL like sound ask 1PL.ex,ma dedha ana Santi dhu sèmi lii manèngi ji'i
we think that we come with the dowry,1PL.ex think PART DUP-come 1PL.ex PROX.SG with bride price,ji'i ngee na ma-mai ji'i ne'e dènge kabua
and we all have heard the result.,with result(IND) 1PL.in DUP-all 1PL.in.CL hear DUP-all 1PL.in.CL,dènge hasil èdhi aa'i-aa'i ti tadèngi aa'i-aa'i ti
I think we do not have to talk further because the sun almost goes down.,1SG think PART 1PL.in PROH.NEG CAUS-long because(IND) sun almost sink that,ja'a ngee na èdhi baku pa-madhera karena lod'o oe cèna kèna
The voice of cock crows,voice chicken crow,lii manu kokotoo
A boy is on the tree,person man one LOC above child wood,dhèu mone èci ètu dedha ana aj'u
Climb using the stair,CLimb with stair,ca'e dènge langa
He is picking fruit,3SG pick fruit,nèngu puu hua
He is picking fruit,3SG.CL pick fruit,na puu hua
One fruit fell down,3SG.CL one fall PART LOC land,na cue bèbhe eele tu rai
Then he went down,PART 3SG go. down,ka nèngu puru
he went down then he took fruit from his bag,go.down PART 3SG.take from inside bag,puru ka nare ngèti dara kanoto
Then he put into the basket,PART make inside basket,ka tao dara karanjang
He took out from the bag,3SG.CL make PART from inside bag,na tao eele ngèti dara kanoto
Then count one by one and put into the basket,3SG.CL count DUP-one to inside basket(Mal),na iga cue-cue asa dara karanjang
then he take one on the ground,3SGCL 3SG.take one LOC land,na nare èci tu rai
then he CLeaned up the fruits,PART 3SG.CL CAUS-CLean,ka na pamèu
he CLeaned them using the CLoth on his neck,CAUS-CLean use CLoth LOC neck,pa-mèu pake kaha'i ètu ladha goro
then he put into the basket,PART 3SG.CL make to inside basket,ka na tao asa dara karanjang
he wear again the Cloth,CLoth 3SG.CL PART wear again,kaha'i na ka inu hari
There is a man behind him,PART person one PART back 3SG REM.SG,aa dhèu èci ka kabodho nèngu nèi
brings a cow,push with cow,tule dènge sapi
He is climbing again to the top of the tree,3SG.CL climb again to top child wood,na ca'e hari asa kolo ana aj'u
using a stair,use with stair,pake dènge langa
A man is passing by,person man one walk via DIST.SG,dhèu mone èci kako re èèna
brings a goat,pull with goat,nuni dènge kahibi
He continue walking to the far,3SG.CL walk continue go.3SG to far,na kako taruu la-'e asa kaj'èu
He brings the goat while walking,then 3SGCL pull goat DIST.SG while.walking,ho na nuni kahibi èèna oro-oro
The old man just now,man old just.now DIST.SG,mone heka deo èèna
He is picking fruits again and he put into the bag,pick again fruit 3SG.CL make to inside bag,puu hari hua na tao asa dara kanoto
A small boy came from behind by bicycle,child tiny one walk via back REM.SG with bicycle(IND),ana iiki èci kako re kabodho nèi dènge sapeda
He came near the old man,3SGCL come come PA-approach with man old just.now DIST.SG,na mai mai pa-dètu dènge mone heka deo èèna
He came then he got off the bicycle,3SG.CL come PART 3SGCL go. down from above bicycle,na mai ka na puru ngèti dedha sapeda
He lay down the bicycle on the ground,3SGCL CAUS- fall PART bicycle to land PART,na pa-bèbhe eele sapeda asa rai ka
He took fruits in the basket,3SGCL 3SG.take fruit LOC inside basket,na nare hua ètu dara karanjang
"He looked around, he saw the old man on the tree",DUP-see see man old LOC above tag,la-ladhe ladhe mone heka tu dedha do
"The old man did not see him, then",see not come PART,ladhe boe mai ka
He arouse the bicycle,3SG.CL CAUS-stand bicycle(Mal),na patitu sapeda
Then he ride the bicycle,PART 3SG.CL climb bicycle,ka na ca'e sapeda
Then he took the basket then put on the bicycle,PART 3SG.take basket just.now PART make to bicycle come,aa nare karanjang do ka tao sa sapeda mai
Then he left,PART 3SGCL go.3SG,ka na la'e
The old man on the top of the tree,man old LOC top child wood just.now DIST.SG,mone heka tu kolo ana aj'u deo na
The child fell down the basket,PART child tiny just.now 3SG.CL CAUS-fall PART,aa ana iiki deo na pabèbhe eele
Some fruits are on the ground,fruit to land a separate,hua asa rai ca hag'e
He came then met,3SG.CL come PART RECP-encounter with,na mai ka paraga dènge
a girl,child land one,ana rai ci
"He met a girl, then",RECP-meet with child woman one PART,paraga dènge ana bhèni èci ka
"He looked at the girl, then",DUP-see child woman DIST.SG PART,la-ladhe ana bhèni na ka
He hit the stone then he fell down,hit stone PART 3SGCL fall,rage hadhu ka na bèbhe
Those fruits spread around,PART fruit DIST.PL spread,ka hua sa paceba
"He got up, then",3SGCL get.up PART,na kèdi ka
he look at his knee that injured,DUP-see knee 3SGCL injury,la-ladhe urutuu na nu'a
he stroke his bone,make stroke bone tool,tao salai rui rèka
the other children came then helped him,PART child other DIST.PL come PART come assist,aa ana leo sèra mai ka mai bantu
they,3PL.CL,ra
they scooped the fruits into the basket,scoop fruit DIST.PL inside basket just.now DIST.SG,da'u hua sèra dara karanjang deo na
Clean up their body,CAUS-CLean body DIST.PL,pa-mèu isi sèra
"He arouse the bicycle, then",3SG.CL CAUS-stand bicycle PART,na pa-titu sapeda ka
"They filled the fruits into the basket, then",3PL.CL fill fruit just.now DIST.PL to inside basket(IND) PART,ra isi hua deo sèra asa dara karanjang ka
He put again the fruits on the bicycle,CAUS-CLimb again to bicyCLe(IND),pa-ca'e hari asa sapeda
"After putting on the bicycle, then",CAUS-CLimb again to bicycLe PART,pa-ca'e hari asa sapeda ka
He throw the stone then walk again,3SG.CL lift PART stone PART walk again,na dede eele hadhu ka kako hari
The children who helped him left again,PART child just.now DIST.SG child REL help(IND) 3SG DIST.PL walk again go-3PL,aa ana deo na ana dhu bantu nu sèra kako hari la-si
When the children are walking,child just.now DIST.PL walk walk PART,ana deo sa kako kako ka
They called again,3PL.CL call again,ra paroa hari
They whistle,3PL.CL whistle,ra sasoo
He came again bringing the hat of the boy that he forgot,3SG.CL walk again come 3SG.bring hat child man DIST.SG 3SG.CL forget PART,"na kako hari mai nèti solo ana mone na, na bhèlu eele"
"He gave the hat then he left, then",3SGCL give hat 3SG.CL go-3SG PART,na hia solo na la-'e ka
the boy gave fruits then he continue walking,child man DIST.SG give fruit PART 3SG walk continue,ana mone na hia hua ka nèngu kako taruu
The child came by running,child just.now DIST.SG come make run,ana deo èèna mai tao rai
"When he came, he shared the fruits that he got",PART come PART RECP-divide fruit REL 3SG get just.now DIST.PL,ka mai ka pa-bagi hua dhu nèngu abhu deo sèra
The boy took a game from his bag,child man DIST.SG 3SG-take game(IND) one inside bag,ana mone èèna n-are permainan èci dara saku
"The old man went down from the tree, then",man old just.now DIST.SG go. down from top wood come PART,mone heka deo èèna puru ngèti kolo aj'u mai ka
He startled,3SG.CL startled,na cag'ag'a
because one of his basket was lost,PART basket(IND) 3SG one PART,te karanjang nu èci eele
He counted,then count,na iga
lack one,then lack one,na kura èci
The child who helped the boy came through there,PART child just.now REL assist child man just.now DIST.SG walk come via DIST.PL,aa ana deo dhu bantu ana mone deo èèna kako mai re sèra
holding fruits,hold with fruit,kèpe dènge hua
Then the old man saw,PART man old DIST.SG see,ka mone heka èèna laladhe
The children continue walking,child just.now DIST.PL walk continue,ana deo sèra kako taruu
That person woman left,person DIST.SG to.go-3SG,dhèu èèna la-'e
You cannot defeat the children,2SG 2SG-to take not child PROX.PL,èu m-ore boe ana se'e
You worked in my house,2SG to work LOC inside house 1SG PROX.SG,èu saba ètu dara èmu ja'a ne'e
Seven people came,person seven to.come,dhèu pidhu mai
They came home and brought two dry palm fruits,to return to come PART 3PL-see palm.fruit two unit,lèpa mai ka r-èdhi kabholo-keke dua bua
We all remember,1PL.in all 1PL.in.CL to remember,èdhi aa'i ti sanède
My father will kill us all.,father(Mal) 1SG.CL to cut CAUS-to die all 1PL.ex,papa ku pare pa-madhe aa'i ji'i
All of them assembled in town,person to complete all LOC inside city(IND),dhèu tesa aa'i ètu dara kota
"You eat all, because I do not eat",2SG 2SG-to eat all because 1SG 1SG-to eat not,èu m-u'e aa'i te ja'a ku'a boe
There is a ball at the tip of the table,to get ball(IND) one LOC tip table,abhu bola èci ètu suu mei
Manage the red part well,to.deal CAUS-good DUP-red,uri pa-be'a ma-mea
"You please, do not persuade those children",2SG PROH.NEG DUP-to poke child small REM.PL,miu baku da-dugu ana iiki sèi
Jote at the eastern part,Jote PROX.SG LOC tip sea east,Jote ne'e ètu suu dhasi dhimu
They left earlier to visit Rika at al's house,to go-3PL earlier to house Rika REM.PL,la-si uru asa èmu Rika sèi
The place where he lived was there in Lombo,place to stay 3SG PART LOC Lobho REM.SG/REM.PL,era pea nèngu ka ètu Lobho nèi
Ms. Fena,,bi Fena
Mr. Opi,,ba'i Opi
"Grandma, Bhèli did not do anything",grandmother Bhèli tag to touch not but PART to make,bèi Bhèli ku g'ag'e boe tengaa na tao
Mr. Loni Ha'u went,Mr Loni Ha'u to go-3SG,ama Loni Ha'u la-'e
Working here on Ndao island,to work LOC island Dhao PROX.SG,saba ètu kabarai Dhao ne'e
There in Kupang city,LOC above land Kupang,ètu dedha rai Kota
They are young people,3PL REM.PL person latest,rèngu sèi dhèu limuri
They talked,3PL PROX.PL to discuss,rèngu se'e padhue
You make me in trouble,2SG PROX.SG CAUS-to suffer 1SG be like what,èu ne'e pa-j'èra ja'a sèmi ngaa
"To make a coat, it needs forty five strings of yarn",to roll coat(IND) PART to make rope four tens five,lolo jas na tao dhari èpa nguru lèmiNum
"What about this water, grandma?",water PROX.SG to make how grandma PART,èi ne'e tao tasamia bèi e?
"Boil water for her, too",to.boil water hot PROX.PL to give 3SG.OBJ.CL also,pai èi pana se'e hia ne hèi
Father did not think about those rice,father to think not rice DIST.PL,ama ngee boe kau sèra
He walked and walked until reaching the beach,to go-3SG to go-3SG 3SG-to take sea REM.SG/PL,la-'e la'e n-are dhasi nèi
The sea over there,sea one/a REM.SG,dhasi èci nèi
The wind blows it,wind DIST.SG/PL/one to blow right,ngèlu èèna tiu lèke
One small palm container is at that side,palm.container small one adhere(IND) lOC side DIST.SG,sabha iiki èci tempel ètu karasa èèna
"When digging, it should reach the north part",to dig PART to reach north REM.SG,kèi na dai badae nèi
Jote was at the east,Jote 3SG LOC east,Jote nèngu ètu dhimu
She takes the stone on the book,3SG 3SG-to.take stone LOC above book(IND),nèngu n-are hadhu ètu dedha buku
His mother was on a bed above,mother 3SG.CL LOC k.o.wooden.couch above,ina na ètu kalaga dedha
Jote was at the tip of the sea in the east,Jote PROX.SG LOC tip sea east,Jote ne'e ètu suu dhasi dhimu
In the east at the tip of the sea,LOC east tip sea,ètu dhimu suu dhasi
at the eastern part of the sea,LOC tip east sea,ètu suu dhimu dhasi
Grandmother is still in the house,grandma tag still inside house DIST.SG,bèi ku lili dara èmu èèna
Jote was at the east,Jote 3SG LOC east,Jote nèngu ètu dhimu
She left then she looked over there to the west,to.go-3SG PART to.face west LOC REM.SG,la-'e ka tangara haa ètu nèi
The month is the time for Holomanu ceremony,moon 3SG moon Holomanu,hèru èèna hèru Holomanu
"Yesterday, the man died",yesterday DIST.SG person DIST.SG to.die,meda èèna dhèu èèna madhe
"When it was twelve p.m, then",to reach to beat a ten two then,dai hake ca nguru dua hèia
Maybe an hour or two hours,to lose not to reach a hour or two hour PART,ele boe dai ca jam do dua jam sa
"In the following day, we loosen the rope",tomorrow DIST.SG 1PL.ex to loosen again,bèli èèna ji'i cèpu hari
Because our coming today is a little bit late,DUP-to come 1PL.ex today PROX.SG rather slow,ma-mai ji'i doe ne'e ako nena
From morning until afternoon,from morning until reach afternoon/noon,ngèti madae toke dai nihia
You kill me,2SG CAUS-to die 1SG,èu pa-madhe ja'a
I entrust this thing to you,1SG to believe goods DIST.SG LOC 2SG,ja'a lèka mèdha èèna ètu èu
I roll two sheets of yarn,1SG to roll two sheet,ja lolo dua bèla
The children who helped him already left again,child REL to.help(IND) 3SG DIST.PL to.walk again to go-3PL,ana _i dhu bantu nu sèra _i kako hari la-si _i
You fooled me,2SG PROX.SG to trick 1SG,èu ne'e aka ja'a
We are brothers and sisters,1PL.in PROX.PL person older.sibling younger.sibling,èdhi se'e dhèu a'a ari
I soldered it,1SG CAUS-to water 3SG REM.SG,ja'a pa-èi nèngu nèi
We took palm leaves,1PL.in to.make leaf water.container,èdhi tao rèu sabha
We took palm leaves,1PL.in.CL to.make leaf water.container,ti tao rèu sabha
We just cut the fire wood,1PL.ex just to.cut firewood PART DIST.SG,ji'i heka tutu kadèna ka èèna
The king took care of us,person big DIST.SG to.look.after(IND) 1PL.ex,dhèu aae èèna piara ji'i
I eat corn,1SG 1SG-to eat corn,ja'a k-u'a tarae-sina
1SG-to eat corn,1SG-to eat corn,k-u'a tarae-sina
I went home,1SG to go-1SG house,"ja'a la-ku èmu,"
I went home,to go-1SG house,"la-ku èmu,"
"This is a legend folktale, so",PROX.SG legend so,ne'e nanuku de
Ask people to take that then they recover,to give person 3PL-to eat 3PL-to drink DIST.SG PART to finish,hia dhèu r-a'a r-inu èèna na èle
I am living here,1SG to stay LOC PROX.SG,ja'a pea ètu ne'e
we went back there,1PL.ex to return to DIST.SG,èdhi lèpa asa èèna
"Now, I want to tell story",PROX.SG 1SG to want tell(story),ne'e ja'a neo lolo
It is a standing design,REM.SG REM.SG fruit to stand PART REM.SG,nèi ni hua patitu ka nèi
It is a standing motif,REM.SG REM.SG fruit to stand PART REM.SG,nèi ni hua patitu ka nèi
It was not the same with the houses there,same(Mal) not with house LOC REM.PL REM.PL,sama boe dènge èmu ètu sèi si
Told story like that,to tell like DIST.SG,lole sèmi èèna
"Like this, you go to cut wood",be like PROX.SG to go-2PL to slaughter tag wood,"sèmi ne'e, ""la-mi pare ku aj'u"""
That person woman left,person DIST.SG to.go-3SG,dhèu èèna la-'e
Those two orphans,child fatherless person two DIST.PL,ana lalu dhèu dua sèra
The name of the place where you live,name land REL 2PL stay PROX.SG,ngara rai dhu miu pea ne'e
After setting all of them,high.tide finished all PROX.PL,pasa èle aa'i se'e
You make me in trouble,2SG PROX.SG CAUS-to.suffer 1SG be.like what,èu ne'e pa-j'èra ja'a sèmi ngaa
Here he is,3SG DIST.SG PART PROX.SG,nèngu na ka ne'e
"Rika, she was at the western part",Rika PROX.SG 3SG LOC tip west,Rika ne'e nèngu ètu suu haa
They went to visit Rika at al's house again,to.go-3PL again to house Rika REM.PL,la-si hari asa èmu Rika sèi
"In that day, these seven children went home",day DIST.SG PART person seven DIST.PL to.return,lod'o èèna na dhèu pidhu sèra lèpa
"Formerly, it is sold fifty thousand each",earlier DIST.PL per five tens thousand,uru sèra baka lèmi nguru riho
From the past until today,from earlier until to.reach latest PROX.SG PROX.SG,ngèti uru toke dai limuri ne'e ne
as your grandfather is a person who,because grandfather 2PL.CL PROX.SG person,te baki mu ne dhèu
I am working now,1SG to.work PROX.SG,ja'a saba ne
I am doing this,1SG to.work PROX.SG,ja'a saba ne'e
I am going to call,1SG.CL to.go-1SG to.call PROX.SG,ku la-ku paroa ne
That old man who is coming is my uncle,male old REL to.come DIST.SG uncle 1SG,mone heka dhu mai èèna to'o ja'a
Dhao language which is good,voice Dhao REL right-DUP,lii Dhao dhu tare'a-re'a
I will tell about dyeing sarongs,1SG to.tell REL to.make thread rafia PROX.SG,ja'a lole dhu tao hèngu nyama ne'e
Because he comes to look for her,because(IND) REL to.come to.look.for 3SG,sebab dhu mai tenge nèngu
Who is looking after him?,who to.care.for 3SG,cee leru nèngu ?
Who did they bury?,3PL to.bury who DIST.SG,rèngu padhane cee nèi
With what should I repay him?,1SG to.repay with what,ja'a bala dènge ngaa
"He gets money, more than one million",3SG to.get money one million million,nèngu abhu doi ca juta kehi
"One thousand, five hundred and seventy three",one.thousand five hundreds seven tens three,cariho lèmi ngasu pidhu nguru tèlu
"It must be only once, do not be twice",must(Mal) once PART once DIST.SG PART PROH.NEG until two again,musti catèka na catèka èèna ka baku dai dua hari
As a widow,as(IND) a person female loss,sebagaimana ca dhèu bhèni balu
Only for one thing one way,only a way only,dhoka ca j'ara di
They have one father but separate mother,3PL a father DIST.SG PART but mother per other,rèngu ca ama èèna ka tengaa ina baka leo
Then married with a girl,PART overshade house with woman one,ka leo èmu dènge bhèni ci'u
Gave us a cock,to.give 1PL.ex chicken one,hia ji'i manu ci'u
He made a boat Lit: he cuts something to become a boat,3SG to.cut 3SG-to.take boat one,nèngu pare n-are koha cue
Made a garden near Lusi river over there,to.make garden one LOC place river Lusi REM.SG,tao oka cue ètu era loko Lusi nèi
You have a stall-full of chicken,chicken 2SG a stall,manu èu ca oka
But a grain of sand that comes from Oenale,but sand one so.that 3SG to.come from name so.that,tengaa salae cue ho nèngu mai ngèti Oenale ho
And one or two chicken,with child chicken one two body also,dènge ana manu ci'u dua ngi'u kahèi
Went in and saw about four or five kids were playing,to.go-3SG child tiny REL four person five play,la-'e ana iiki dhu èpa dhèu lèmi karihu
They went home and brought two fruits of palmwine had dried,to.return to.come PART 3PL-to.see palm.fruit two unit,lèpa mai ka r-èdhi kabholo-keke dua bua
I am tapping ten trees of lontar,1SG to.tap.lontar a ten trunk,ja'a èta ca nguru kapua
Two logs are beside a dry log,wood two stem in beside stem wood dry,aj'u dua laa ètu karasa laa aj'u mango
After finishing three sheets then we go sell that,CAUS-to.reach three sheet PART then 1PL.ex to.go.1PL.ex sell that,pa-dai tèlu bèla na heka ji'i la'a pahia kèna
"For big sarongs, one group consists of thirty strands",cloth big 3SG three tens a group.of.thread,sig'i aae nèngu tèlu nguru ca ho'a
She takes a handful of peas,3SG 3SG.take pea a hold,nèngu n-are kabui ca horo
Two spoonful of black dye,water tobacco black two CAUS-spoon,èi na'i mèdi dua pa-curu
It becomes nine parts,3SG so become nine piece,nèngu j'aj'i ma ceo èta
Then it is divided into nine pieces,PART cut divide become nine piece,na tète bagi ma ceo kadèli
Some fruits are on the ground,fruit to land a part,hua asa rai ca hag'e
The keel of boat is six fathoms,keel around(IND) six fathom,kèni sekitar èna rèpa
"For our custom, it is five èma",custom 1PL.in five 8.gram,ada èdhi lèmi èma
I eat the liver because,1SG 1SG-to.eat liver because,ja'a k-u'a adhe te
You should not take anything,2SG PROH.NEG 2SG-to.take DUP-what,èu baku m-ore ngaa-ngaa
You go to look for a goat herdsman,2SG to.go-2SG look tag child follow goat,èu la-mu tenge ku ana madhutu kahib'i
To where we will go again,to place where again 1PL.in to.go-1PL.in,asa era mia hari èdhi la-ti
"The next day, Jote visited Rika",tomorrow PART PART Jote to.come to.visit Rika,bèli na ka Jote mai ngad'o Rika
"Tomorrow, you may come to visit me, friend",tomorrow to.go.2SG to.visit/2SG-to.visit 1SG friend,"bèli la-mu ngad'o ja'a, angalai"
What name do you give to this place?,2PL CAUS-name public PROX.SG PART what,miu pa-ngara kabarai ne'e na ngaa?
I made it to be long,1SG to.smith CAUS-long,ja'a tuku pa-madhera
Abunaba cried like that,Abunaba to.cry be.like DIST.SG,Abunaba tangi sèmi èèna
Grandmother is pounding betel-nut,grandmother to.pound betel,bèi abo kanana
"Please, give me your water",2PL to.give tag 1SG water 2PL PART,miu hia ku ja'a la
He takes break the lontar stems at the back,3SG to.crack stem behind,nèngu sèg'i èpa kabodho
I weave the sarong in a week,1SG to.weave yarn DIST.SG a week(IND),ja'a manènu hèngu èèna ca minggu
The water already boiled,water hot boiled already,èi pana hare'a le
The salt made in the sloping riverbank was clean,salt top mountain.side REM.SG 3SG clean,masi kolo lia nèi nèngu mèu
"The place of fire, if it is already cold",place fire REM.SG to.see cold already,era ai nèi ladhe maho èle
Then she considers that,then 3SG to.consider PART,hèia nèngu kasere na
"When I call your name, please answer",to.see PART father to.call name who PART 3SG to.answer,ladhe na Ama paroa ngara cee na nèngu dhaa
He continues walking to the far,3SG.SUBJ.CL to.walk continue to.go.3SG to far,na kako taruu la-'e asa kaj'èu
I roll the coconut fruit,1SG to.roll fruit coconut DIST.SG,ja'a bhaloli hua nyiu èèna
The coconut fruit rolls there,fruit coconut DIST.SG to.roll to.go.3SG,hua nyiu èèna bhaloli la-'e
he went to sit on the stone,3SG to.go-3SG to.sit LOC top rock,nèngu la'e madèdhi ètu kolo hadhu
You go to stand on the board,2SG to.go-2SG stand above board DIST.SG,èu la-mu titu dedha papa èèna
They asked him to sleep in space underneath a bed,3PL.CL to.give 3SG.SUBJ.CL to.lie.down LOC hole bed,ra hia na j'unu ètu ro'a koi
You sleep underneath my bed,2SG to.lie.down hole bed 1SG,èu j'unu ro'a koi ja'a
I want to go to sea,1SG to.want to.go.1SG sea,ja'a neo la-ku dhasi
I swam to island,1SG to.swim PART island to.go-1SG,ja'a nangi ka pulu la-ku
There is a ball at the tip of the table,to.get ball(IND) one LOC tip table,abhu bola èci ètu suu mei
There is no ball at the tip of the table,ball(IND) be.absent LOC tip table,bola aad'o ètu suu mei
The ball is absent at the tip of the table,ball(IND) be.absent LOC tip table,bola aad'o ètu suu mei
There is no more ball,ball(IND) be.absent PERF,bola aad'o le
Then she has finished one,then 3SG to.finish one,ho nèngu èle èci
he has healed the queen,to.restore CAUS-to.finish PERF woman big DIST.SG,puri pa-èle le bhèni aae èèna
"You, please run quickly",2SG to.run fast tag,èu rai karohe ku
He runs quickly,3SG to.run quick / PA-quick,nèngu rai mèri / pa-mèri
His speed,DUP-quick 3SG,ma-mèri nèngu
While they are still thinking,3PL still DUP-PA-to.think then,rèngu lili pa-ngee-pa-ngee hèia
"She has never seen you, so",3SG not.yet 3SG-to.see not.yet 2SG prt,nèngu dhae n-èdhi mèka èu de
Grandmother has just asked me to dig holes for tobacco,grandma tag just to.give 1SG dig hole tobacco,bèi ku heka hia ja'a kèi ro'a na'i
Mr. Tuka opened the lid of the bottle,grandfather Tuka to.open away cover k.o.bottle,baki Tuka bhoke eele katanga babo'i
"You, please come quickly",2SG quickly tag to.come,èu karohe ku mai
Make strings that is rather long,to.make rope rather long little,tao dhari ako madhera ciki
Went to the mountain and it was quite far,to.climb mountain far quite big,a'e ledhe kaj'èu j'o aae
do not cry any more,cry no.longer also,tangi heka hèi
"Suddenly, Rika came",suddenly PART Rika to.come,kèbalaa Rika mai
The child probably worked two days,child DIST.SG probably to.work two day,ana èèna pe saba dua lod'o
They arrested him and carried him immediately to that place,to.come to.catch 3PL-to.take to.go-3PL 3PL-to.bring immediately to place REM.SG,mai kèpe r-are la-si r-èti dènge asa era nèi
"After cutting, it is loosened again",to.chop 3PL-to.take PART 1PL to.divide again,sai t-are na èdhi bagi hari
"The woman took part, too",child woman DIST.SG to.go-3SG also,ana bhèni èèna la'e kahèi
I am still small so let me grow a bit bigger,let 1SG big tag again PART tag,hudi ja'a kapai ku hari la ma
We only ate fruits,DUP-to.live 1PL.ex just fruit wood only,ma-muri ji'i dhoka hua a'ju di
They went around,person great PART to.walk around,dhèu aae na kako eo-eo
There is a little bit yellow dying,water tobacco yellow little too.little PART PROX.SG,èi na'i karara ciki oode ka ne'e
They went and Jote's house was too black,to.go.3PL PART inside REL black too.black,lasi na dara dhu mèdi guru-guru
All logs had been prepared completely,PART wood complete all DUP-clean,ka a'ju tesa aa'i mèu-mèu
We bail the dirty water,1PL.ex to.bail away water dirty,ji'i usu eele èi kaj'alu
She cleans up the dirt on the palm tree,3SG CAUS-clean dirt LOC top palm.tree,nèngu pa-mèu kaj'alu ètu kolo dhua
He cleans up the dirt on the palm tree,3SG CAUS-clean dirt LOC top palm.tree,nèngu pa-mèu kaj'alu ètu kolo dhua
That house is dirty,house DIST.SG dirty,èmu èèna kaj'alu
Take again one small log,2SG again wood small one,m-ore hari aj'u iiki èci
