target_text,interlinear_gloss,source_text,page_number
apa ina ama ngèti ca bèka rasa na nèngu bisa?,what(IND) mother father from a PART taste(IND) PART 3SG can,"do you, parents from another side, think that she is eligible?",30
nèngu bisa mèka,3SG can not.yet,"for us, parents in Ndao, she is not eligible yet.",31
menurut mama na mama la-ladhe na nèngu ana iiki ae era,according.to(IND) mother(Mal) PART mother(Mal) DUP-see PART 3SG child small many still.exist,"Madam, you said that she is still too young",31
tapi sèmi lii deo èèna dhu ja'a peka deo èèna,but(IND) like sound recent DIST.SG REL 1SG tell recent DIST.SG,but as I have said just now,31
ji'i mai ka sèmi le ji'i to mama?,1PL.ex come PART be.like PREF 1PL.ex tag mother,"we come and have been accepted, is it right, Madam?",31
de dua ne'e j'aj'i le mi èci mama,so two PROX.SG become PREF toward one mother,"so the two already become one, Madam.",31
de ladhe nèngu sale na èdhi aa'i-aa'i ti holo peka ne'e,so see 3SG wrong PART 1PL.in DUP-all 1PL.in.CL advise say PROX.SG,"so when she is wrong, we all are responsible to advise her",31
te j'aj'i le ma ana na,because become PREF toward child PART,because (she) already becomes our daughter.,31
ja'a pa-maète boe,1SG CAUS-cut not,I do not make the decision.,31
tengaa ne'e karena Santi,but PROX.SG beCAUSE(IND) Santi,but Santi does,31
jadi ja'a harus la-ku paraga ku dènge nèngu,so(IND) 1SG must(IND) go-1SG meet tag with 3SG,so I have to meet her.,32
ja'a k-e'a boe nèngu ètu mia ne'e na,1SG 1SG-know not 3SG LOC where PROX.SG PART,I still do not know where she is now.,32
dhu ngara na Santi na ja'a ke'a boe na era ètu ngaa,REL name 3SG.CL Santi PART 1SG 1SG.know not PART place LOC what,"for the name Santi, I do not know where she is.",32
jadi ja'a manèngi èdhi bersabar ciki,so(IND) 1SG ask 1PL.in patient(IND) little,"so I hope, we need to be patient a bit.",32
sèna ka ja'a la-ku paraga dènge nèngu,so.that PART 1SG go-1SG meet with 3SG,so that I am going to meet her.,32
sebab dhu mai tenge nèngu,because(IND) REL come look.for 3SG,because he comes to look for her,32
ja'a k-èti èci ka ne'e de nèngu na ka ne'e?,1SG 1SG.bring one PART this so 3SG PART PART PROX.SG,"I bring one here, so is this she?",32
Meki ètu ngaa do?,Meki LOC what tag,where is Meki?,32
kèna uu ana miu aad'o di,that EXCL child 2PL be.absent just,"there we go, your child does not exist",32
ee na ja'a la-ku huni hari te ana miu aad'o di,EXCL PART 1SG go-1SG hide again beCAUSE child 2PL be.absent just,"if so, then I am going to hide her again beCAUSE your son does not exist'.",33
ina... miu kasian,mother 2PL pity(IND),"Oh my God, what a pity'",33
mama manèngi taha ciki do nga,mother ask able little tag PART,"Madam, (we) are hoping to be patient a bit'.",33
de ji'i manèngi hari taha ciki si ma,so 1PL.ex ask again able little tag PART,we are asking again for a bit patience'.,33
Meki la-'e nangi dhasi le si,Meki go-3SG swim sea PERF tag,"Meki is going to swim in the sea, isn't he?'",33
ja'a manèngi ijin ho ja'a la-ku k-ore ku ana ja'a,1SG ask permission(IND) so.that 1SG go-1SG 1SG-take tag child 1SG,I am asking for permission to go and pick my son up'.,33
lii Malai hari ka èèna,sound Malay again PART DIST.SG,Indonesian language again',33
mama sonde sakola Meki,mother not school Meki,"I am not educated, Meki'. (all text in Kupang Malay)",33
jadi kalau bahasa jatuh bangun harap maklum,so(IND) if(IND) language(IND) fall(IND) wake.up(IND) hope(IND) know(IND),"So, please understand if I am not speaking very well'.",33
RK sèmi ne'e mama-mama ngèti Oenale,like PROX.SG DUP-mother from Oenale,"now, you all, madams, from Oenale",34
RK mai paraga dènge mama-mama dènge ama-ama ètu Dhao peka na,come meet with DUP-mother with DUP-father LOC Ndao say PART,come to meet with people in Ndao and said,34
RK Meki parlu pendamping,Meki necessary(Mal) assistant(IND),Meki needs a helper.,34
RK ingat pendamping oo bukan pembantu,remember(IND) assistant PART not(IND) servant,"remember, a helper, not a maid",34
RK pendamping ne'e langsung peka ngara na Santi,assistant(IND) PROX.SG direct(IND) say name 3SG Santi,this helper is of course called Santi,34
RK apa betul ini?,what(IND) right(IND) tThis(IND),is this right?,34
RK tare'a ne'e baku sampe Meki kena tipu oo,right PROX.SG PROG.NEG until(IND) Meki touch lie PART,is this right? be careful that Meki is fooled,34
RK Santi banyak na,Santi many(IND) PART,becasue there are many Santis,34
"RT de èdhi aa'i-aa'i ti tadèngi aa'i le, to?",so 1PL.in DUP-all 1PL.in.CL hear all PERF tag,"so we all have heard, don't we?",34
mama sèi Santi karèi,mother(IND) REM.PL Santi ask,"Santi, I want to ask.",35
ji'i na ka oo gogoo maroga kahèi ne'e,1PL.ex PART PART PART senile dark also PROX.SG,we here do not know anything as well,35
tengaa mama karèi deo èèna dhaa aku nèngu na ka ne'e de kèna,but mother(IND) ask recent DIST.SG answer according.to 3SG PART PART PROX.SG so that,but I asked just now and she said that this is he so it is right.,35
tengaa ja'a dhae karèi mèka Santi do,but 1SG not.yet question not.yet Santi PART,but I do not ask Santi yet.,35
de la'a kèna di ji'i mai manèngi sa-sue de karèi ku la,so go ahead that just 1PL.ex come ask DUP-love so ask tag PART,"so please, as we come to ask for mercy, so please ask.",35
aa ina ama ngèti Oenale sèi mai,PART mother father from Oenale REM.PL come,parents from Oenale come (here),35
manèngi ètu ji'i ina ama tapi bukan ji'i ina ama la-'a,ask LOC 1PL.ex mother father but(IND) not(IND) 1PL.ex mother father go-1PL.ex,"ask us as parents but we, parents, will not decide.",35
manèngi dhèu dhu ngara na èu,ask person REL name 3SG.CL 2SG,ask the one whose name is you.,35
la-'e j'aj'i mi rui karasa Meki,go-3SG become toward bone side Meki,,35
dhu ele ca loa,REL lose a sheet,to go and become a rib of Meki for one is lost,36
RK siap?,ready,ready?,36
RK èdhi aa'i-aa'i ti tadèngi le si?,1PL.in DUP-all 1PL.in.CL hear PREF tag,"we all have heard, haven't we?",36
RK bahwa Santi siap,REL(IND) Santi ready,that Santi is ready,36
RT ji'i manèngi makasi ae-ae,1PL.ex ask thank(IND) DUP-very,we would like to thank you very much.,36
RT ma dedha ana Santi dhu sèmi lii manèngi ji'i,toward above child Santi REL like sound ask 1PL.ex,especially Santi who has accepted our proposal.,36
RT ji'i ngee na ma-mai ji'i ne'e dènge kabua,1PL.ex think PART DUP-come 1PL.ex PROX.SG with bride price,we think that we come with the dowry,36
RT dènge hasil èdhi aa'i-aa'i ti tadèngi aa'i-aa'i ti,with result(IND) 1PL.in DUP-all 1PL.in.CL hear DUP-all 1PL.in.CL,and we all have heard the result.,36
RT ja'a ngee na èdhi baku pa-madhera karena lod'o oe cèna kèna,1SG think PART 1PL.in PROH.NEG CAUS-long because(IND) sun almost sink that,I think we do not have to talk further because the sun almost goes down.,36
lii manu kokotoo,voice chicken crow,The voice of cock crows,37
dhèu mone èci ètu dedha ana aj'u,person man one LOC above child wood,A boy is on the tree,37
ca'e dènge langa,CLimb with stair,Climb using the stair,37
nèngu puu hua,3SG pick fruit,He is picking fruit,37
na puu hua,3SG.CL pick fruit,He is picking fruit,37
na... cue bèbhe eele tu rai,3SG.CL one fall PART LOC land,One fruit fell down,37
ka nèngu puru,PART 3SG go. down,Then he went down,37
puru ka nare ngèti dara kanoto,go.down PART 3SG.take from inside bag,(he) went down then he took fruit from his bag,37
ka tao dara karanjang,PART make inside basket,Then (he) put into the basket,38
na tao eele ngèti dara kanoto,3SG.CL make PART from inside bag,He took out from the bag,38
na iga cue-cue asa dara karanjang,3SG.CL count DUP-one to inside basket(Mal),Then count one by one (and) put into the basket,38
na nare èci tu rai,3SGCL 3SG.take one LOC land,then he take one on the ground,38
ka na pamèu,PART 3SG.CL CAUS-CLean,then he CLeaned up (the fruits),38
pa-mèu pake kaha'i ètu ladha goro,CAUS-CLean use CLoth LOC neck,(he) CLeaned (them) using the CLoth on (his) neck,38
ka na tao asa dara karanjang,PART 3SG.CL make to inside basket,then he put into the basket,38
kaha'i na ka inu hari,CLoth 3SG.CL PART wear again,(he) wear again the Cloth,38
aa dhèu èci ka kabodho nèngu nèi,PART person one PART back 3SG REM.SG,There is a man behind him,38
tule dènge sapi,push with cow,brings a cow,38
na ca'e hari asa kolo ana aj'u,3SG.CL climb again to top child wood,He is climbing again to the top of the tree,38
pake dènge langa,use with stair,using a stair,39
dhèu mone èci kako re èèna,person man one walk via DIST.SG,A man is passing by,39
nuni dènge kahibi,pull with goat,brings a goat,39
na kako taruu la-'e asa kaj'èu,3SG.CL walk continue go.3SG to far,He continue walking to the far,39
ho na nuni kahibi èèna oro-oro,then 3SGCL pull goat DIST.SG while.walking,He brings the goat while walking,39
mone heka deo èèna,man old just.now DIST.SG,The old man just now,39
puu hari hua na tao asa dara kanoto,pick again fruit 3SG.CL make to inside bag,(He) is picking fruits again and he put into the bag,39
ana iiki èci kako re kabodho nèi dènge sapeda,child tiny one walk via back REM.SG with bicycle(IND),A small boy came from behind by bicycle,39
na mai mai pa-dètu dènge mone heka deo èèna,3SGCL come come PA-approach with man old just.now DIST.SG,He came near the old man,39
na mai ka na puru ngèti dedha sapeda,3SG.CL come PART 3SGCL go. down from above bicycle,He came then he got off the bicycle,40
na pa-bèbhe eele sapeda asa rai ka,3SGCL CAUS- fall PART bicycle to land PART,He lay down the bicycle on the ground,40
na nare hua ètu dara karanjang,3SGCL 3SG.take fruit LOC inside basket,He took fruits in the basket,40
la-ladhe ladhe mone heka tu dedha do,DUP-see see man old LOC above tag,"(He) looked around, (he) saw the old man on the tree",40
ladhe boe mai ka,see not come PART,"(The old man) did not see (him), then",40
na patitu sapeda,3SG.CL CAUS-stand bicycle(Mal),He arouse the bicycle,40
ka na ca'e sapeda,PART 3SG.CL climb bicycle,Then he ride the bicycle,40
aa... nare karanjang do ka tao sa sapeda mai,PART 3SG.take basket just.now PART make to bicycle come,Then he took the basket then put on the bicycle,40
ka na la'e,PART 3SGCL go.3SG,Then he left,40
mone heka tu kolo ana aj'u deo na,man old LOC top child wood just.now DIST.SG,The old man on the top of the tree,40
aa... ana iiki deo na pabèbhe eele,PART child tiny just.now 3SG.CL CAUS-fall PART,The child fell down (the basket),40
hua asa rai ca hag'e,fruit to land a separate,Some fruits are on the ground,41
na mai ka paraga dènge,3SG.CL come PART RECP-encounter with,He came then met ...,41
ana rai ci,child land one,a girl,41
paraga dènge ana bhèni èci ka,RECP-meet with child woman one PART,"(He) met a girl, then",41
la-ladhe ana bhèni na ka,DUP-see child woman DIST.SG PART,"(He) looked at the girl, then",41
rage hadhu ka na bèbhe,hit stone PART 3SGCL fall,(He) hit the stone then he fell down,41
ka hua sa paceba,PART fruit DIST.PL spread,Those fruits spread around,41
na kèdi ka,3SGCL get.up PART,"He got up, then",41
la-ladhe urutuu na nu'a,DUP-see knee 3SGCL injury,(he) look at his knee that injured,41
tao salai rui rèka,make stroke bone tool,(he) stroke (his) bone,41
aa... ana leo sèra mai ka mai bantu,PART child other DIST.PL come PART come assist,the other children came then helped (him),41
ra,3PL.CL,they,42
da'u hua sèra dara karanjang deo na,scoop fruit DIST.PL inside basket just.now DIST.SG,(they) scooped the fruits into the basket,42
pa-mèu isi sèra,CAUS-CLean body DIST.PL,Clean up their body,42
na pa-titu sapeda ka,3SG.CL CAUS-stand bicycle PART,"He arouse the bicycle, then",42
ra isi hua deo sèra asa dara karanjang ka,3PL.CL fill fruit just.now DIST.PL to inside basket(IND) PART,"They filled the fruits into the basket, then",42
pa-ca'e hari asa sapeda,CAUS-CLimb again to bicyCLe(IND),(He) put again (the fruits) on the bicycle,42
pa-ca'e hari asa sapeda ka,CAUS-CLimb again to bicycLe PART,"After putting on the bicycle, then",42
na dede eele hadhu ka kako hari,3SG.CL lift PART stone PART walk again,He throw the stone then walk again,42
aa... ana deo na ana dhu bantu nu sèra kako hari la-si,PART child just.now DIST.SG child REL help(IND) 3SG DIST.PL walk again go-3PL,The children who helped him left again,42
ana deo sa kako kako ka,child just.now DIST.PL walk walk PART,When the children are walking,43
ra paroa hari,3PL.CL call again,They called again,43
ra sasoo,3PL.CL whistle,They whistle,43
"na kako hari mai nèti solo ana mone na, na bhèlu eele",3SG.CL walk again come 3SG.bring hat child man DIST.SG 3SG.CL forget PART,He came again bringing the hat of the boy that he forgot,43
na hia solo na la-'e ka,3SGCL give hat 3SG.CL go-3SG PART,"He gave the hat then he left, then",43
ana mone na hia hua ka nèngu kako taruu,child man DIST.SG give fruit PART 3SG walk continue,the boy gave fruits then he continue walking,43
ana deo èèna mai tao rai,child just.now DIST.SG come make run,The child came by running,43
ka mai ka pa-bagi hua dhu nèngu abhu deo sèra,PART come PART RECP-divide fruit REL 3SG get just.now DIST.PL,"(When he) came, (he) shared the fruits that he got",43
ana mone èèna n-are permainan èci dara saku,child man DIST.SG 3SG-take game(IND) one inside bag,The boy took a game from his bag,43
mone heka deo èèna puru ngèti kolo aj'u mai ka,man old just.now DIST.SG go. down from top wood come PART,"The old man went down from the tree, then",44
na cag'ag'a,3SG.CL startled,He startled,44
te karanjang nu èci eele,PART basket(IND) 3SG one PART,because one of his basket was lost,44
na iga,then count,He counted,44
na kura èci,then lack one,lack one,44
aa ana deo dhu bantu ana mone deo èèna kako mai re sèra,PART child just.now REL assist child man just.now DIST.SG walk come via DIST.PL,The child who helped the boy came through there,44
kèpe dènge hua,hold with fruit,holding fruits,44
ka mone heka èèna laladhe,PART man old DIST.SG see,Then the old man saw,44
ana deo sèra kako taruu,child just.now DIST.PL walk continue,The children continue walking,44
