source_word,target_word,pos
pound,dhedhe,vt.
step,dhedhe,vt.
pour,bhori,v.
pour,soli,vt.
praise,koa-kio,vt.
pray,mangaj'i,vi.
pray,sabaj'a,vi.
precisely,iie,adv.
predict,siri,vt.
pregnant,kado,vi.
way of wearing cloth,kado,vi.
prepare,sadia,vt.
press,ènyi,v.
press,kabhie,v.
press,pacèli,v.
press,paka`dhii,vt.
press down,marèu,vt.
price,kabua,n.
pride,koa,v.
profit,oto,n.
prohibit,kai,vt.
forbid,kai,vt.
promise,jaji,vi.
promise,padhadha,vi.
prop,tobe,vt.
sustain,tobe,vt.
proscribed,luri,vi.
provided that,sad'i,cnj.
public,rae lesa,n.
pull,bhiri,v.
pull,ère,v.
pull,kaso,v.
pull,nuni,vt.
pull,rèdhe,vt.
pull out,name,vt.
push,saseti-saseti,vi.
push,seti,vi.
push,tule,vt.
put,cape,v.
put,sange,v.
question tag,si,PART.
quay,daramaga,n.
question,bari,v.
question,karèi,v.
quick,malai,adv.
quick,mèri,adv.
quick,rute,adv.
quickly,lai-lai,adv.
recently,lai-lai,adv.
quit,goro,vi.
quiz,pasiri a'ana,n.
riddle,pasiri a'ana,n.
race-meeting,pasere,v
raffia,nyama,n
raft,kabhao,n
rain,èj'i,n
rainbow,saroo,n
rainy season,èj'i lai,n
raise,doa₁,v
rasher,kadhèli₁,n
rather,ako,adv
rather,j'o,adv
raucous,pasebo,vi
react,bala,v
reply,bala,v
spontanously,capa,adv
really,mema,adv
reasonable,roa aae,vi
receive,sèmi,prep
receptacle,kanate,n
recognize,tadhe,vt
know,tadhe,vt
broken,tadhe,vt
red,mea,adj
redeem,sui,v
refer to,j'uj'u,v
point to,j'uj'u,v
regret,hale,v
relative marker,dhu,cnj
release,patabuli,vt
release,patalale,vt
remain in vinegar,kadosa,n
slice of meat or fish,kadosa,n
remaining,ate,n
remains,kaha'i,n
remember,sanède,vt
repair,lalau,vt
arrange,lalau,vt
repair fishing net,pa'ie,vt
repugnant,madenge,v
residue of oil,agarao,n
respond,dhaa,vt
answer,dhaa,vt
restore,puri,vt
result in,ue,v
retell,lolo₁,vt
return,lèpa₁,vi
reveal,padelo,vt
rice container,bhuti,n
rice pestle,aru,n
ricefield,ma'are,n
rich,kaja,adj
rich,su'i,adj
ridgepole,bhèngu,n
rift,sasanga,n
right,tare'a,adj
right,gana,n
right,g'ana,n
ring,kadheli,n
rinse,lalaa,vt
rip of palm leaf,ladha,n
ripe,madhasa,adj
ripe,madhu'u,adj
mature,madhu'u,adj
river,loko,n
road,j'ara,n
roast,paga,vt
robber,parapo,n
rock,hadhu,n
roll,kaloos,n
roll,bhadolu,v
roll,hèru,v
roll,loli,v
roll,lulu,v
roll,bhaloli,vt; vi
rolled up,loli-loli,v
roller,sa'ua,n
roof,badhu,n
roof rafter,ailoe,n
room,kama,n
root,amo,n
rope,dhari,n
string,dhari,n
Rote,Edha,n
rough,sakaa,v
sleepy,sakaa,v
round,tabolo,adj
round,kapepe,n
round up,kiu,vt
rub,duri,vt.
rub,kosa,vt.
rub,roso,vt.
grate,roso,vt.
rasp,roso,vt.
rubbish,mamumu,n.
run,rai,v.
cleared up,rai,v.
rupiah,rupiah,n.
rust,rutu,adj
rust,rutu,v
sack,kabhisa,n.
sack,karo,n.
sack,soka,n.
sack,kanoto,n.
bag,kanoto,n.
sail,lai₁,n.
salt,masi,n.
same,sama,adv.
same age,dedena,n.
sand,salae,n.
sarong,kaepaja,n.
sarong,sope,n.
sasando,sasadhu,n.
satisfied,bècu,vi.
Savior,Muri Manadu,n.
say,aku,vi.
according to,aku,vi.
scabies,huni₂,n.
scale,nai,n.
school,sakola,n.
scoop,da'u,vt.
scoop,soke,vt.
scorpion,karaka rai,n.
scratch,karo,v.
scream,bhesi,vi.
scream,pakèce,vi.
scream,rodha,vi.
scream,parodha,vt.
sea,dhasi,n.
sea,lèu,n.
sea cucumber,manahi,n.
secret,pacele,n.
see,ladhe,v.
see,tèru,v.
see,mèdhi,vi.
see,"kèdhi, nèdhi, rèdhi mèdhi, ngèdhi, rèdhi",vt.
seed,lamusi,n.
seed,hini,n.
seed container,kapesa,n.
sell,pahia,v.
give each other,pahia,v.
send,pa'adhu,vt.
senile,gagoo,n.
senile,malaa-maloha,vi.
separate,ma'ète,vt.
separate,hag'e,v.
separate,cèri,vi.
separate,manyèla,vi.
separate out,patèni,v.
September,Hadhu lai,n.
September,Hèru Hadhu,n.
summer,Hèru Hadhu,n.
set,maho₃ (),- 
set from the bottom,godo,v.
set on the side,tie,v.
set platform,kalage,v.
set yarn,lolo₂,v.
roll,lolo₂,v.
seven,pidhu,num.
sewing,j'au,vt.
shadow,sanabhu,n.
shake,dhèko₂,v.
shake,gaged'o,vi.
shake,hahae,vt.
shake,kabènyo,vt.
shake,kadègo,vt.
shake,kareko,vt.
shake,rèko,vt.
shall,neo,v.
want,neo,v.
shallow sea,dara.lobho,n.
share,kula,v.
sharp,mad'èka,adj.
sheath,sig'i,n.
sheet,bèla,n.
sheet,loa,n.
cord,loa,n.
shell,kaba,n.
shine,kale'e,adj.
shine,kacèbha,v.
shine,rea,vi.
shine,saraa,vi.
light,saraa,vi.
ship,kapa,n.
shirt,kodho,n.
shoes,sapatu,n.
shoot,subhu,n.
shoot at,kasiro,v
shoot at,kasiro,n
shoot with arrow,cèla,vt.
shoreline,babèbha,n.
short,bab'a,adj.
shoulder,kabela kao,n.
shoulder,lasa'ara,n.
show up,bhodho,vi.
show teeth,sangidhi,v.
shuffle down,tamuru,v.
shut,katange,v.
shy,makae,vi.
sick,pèda,vi.
side,karasa,n.
sign,dhana,n.
sign,tadha,n.
silver,pudhi,adj.
since,karai,cnj.
sing,soda,vi.
sink,cèna,vi.
sink,molo,vi.
sister,hèni,n.
sit,madèdhi,vi.
sitting around,gua-gua,vi.
six,èna,num.
skin,ka'uri,n.
sky,liru,n.
slant,kasore,vi.
slant,miri,vi.
slap,tèbe,v.
slaughter,pare,vt.
slave,ènu,n.
sleep,bhèj'i,vi.
slice,sai,v.
sliced,sai,v.
slingshot,kahèti,v.
slip,tabhèli,v.
slipper,salapa,n.
slow,nena,adj.
slow,babago,adv.
small palm container,sabha.koa,n.
small,iiki,adj.
small,budha,n.
skinny,budha,n.
smart,mèu,vi.
clean,mèu,vi.
smarting,bheta,vi.
smarting,kete,vi.
smarting,malara,vi.
smell,ae,v.
smith,tuku,vt.
smoke,sakido,v.
smoke,nono,vt.
smoke,sèbu,n
smoke,sèbu,vi.
smooth,milu,adj.
snail,kabalosi,n.
snail,kapui,n.
snake,mege,n.
snap,jèke,v.
sneeze,bènyi,vi.
snot,marènga,n.
so,de,Cnj.
so,j'aj'i,Cnj.
soak,edhe,v.
soap,cabu,n.
soft,mako,adj.
softly,mau-mau,adv.
sole,ai.j'èla,n.
sole of foot,j'èla,n.
soon,poka-poka,v.
sorest,rarii,vi.
sorghum,tarae,n.
sort,kanici,vt.
sort through,raroo,v.
soul,manadu,n.
spirit,manadu,n.
sound,lii,n.
sound,pagèro,n.
sound of thunder,dhèru-dhèru,adj
sour,salag'i,n
south,balèu,n
sow,cebe,v
sow,lalobhu,v
space between joints,kahècu,n
span,eèg'a,n
span,èèg'a,n
spatter,kaceba,vi
spatter,karèce,vi
speak,padhae,vi
speak,padhai,vt
spear,kapoke,n
spear,tèbu,v
spider,marake,n
spill,bhori,v
spin,manyèru,v
spin,salai,v
spit,paru'e,vi
spittle,ilu,n
splatter,pici,v
splash,pici,v
spontanously,dènge,adv
spoon,curu,n
spread,cebe,v
spread,manyèba,vi
spread,lalobhu,vt
spread-eagle,tarenga,v
sprinkle,tatee,vt
spurt,sabhuu,v
spy,ma'u,vt
spy,patig'i,vt
squeeze,g'ag'aru,vt
squeeze,g'aru,vt
squid,kanuu,n
stab,kèj'i,vt
stable,oka,n
stack,paloko,adv
staggered (walk),eko-eko,adv
stair,langa,n
stalk,ii,n
stand,titu,vi
stand patiently,dhii-dhii,adv
stand steadily,dhoo-dhoo,adv
star,hua hètu,n
starfish,gage,n
startled,cag'ag'a,vi
state of dead,gaa-gaa,n
stay,kuhu,vi
stay,pea,vi
stay up,beke,vi
steel,waja,n
steer,uli,n
stem,laa,n
stem of canoe's bow,sela,n
stem (of leaf),èpa,n
stem of palm leaf,èpa bau,n
step,pèg,v
step,pasèja,vt
step on,j'èje,v
step on,j'èli,vt
stick,bhare,n
stick,cèki,n
stick,laa,n
stick,lui,vt
still,era,adv
still,lili,adv
stingy,rodho,v
stir,kakeho,vt
stone,hadhu,n
stone fence,tèdhe,n
stop,tèja,Qnt
stop,ae,v
stop by,dhuli,vi
visit,dhuli,vi
stop,ia,v
divorce,ia,v
storage,tatèka,n
store,tanae,v
storm,sagu,vi
straight,mola,adj
strap,cabili,vt
strike,babèke,v
strike,kalabhe,vt
strike,paru,v
hit,paru,v
stroke,salai,v
strong,kadhii,v
strong,èra,vi
stuck,gitu-gitu,adv
stuck,lose,vi
stuck up,kajape,v
stupid,goa,adj
fatuous,goa,adj
substitute,gati,v
suddenly,cakalaa,adv
suddenly,kabèdhi la'a,adv
suddenly,kaca'alaa,adv
suddenly,kèbalaa,adv
suddenly,sahèka,adv
sugar cane,dhèbu,n
sugar palm,bole,n
summer,Hadhu lai,n
summer,hèru hadhu,n
sunbathe,manyiru,vi
supine,hara-hara,adv
support,j'èru,vt
surround,oke,vt
swallow,dhèle,vt
sway,hedu-hedu,vi
swear,dhoo,vi
swear,subha,vi
sweat,kabhèsu,adj
sweep,saku,vt
sweet,kee,adj
sweet potato,sihu loro,n
swim,nangi,v
swollen,bai,v
table,mei,n
taboo,luri,vi
tag,ku,PART
tag,to,tag
tail,hèla lai,n
tail,rèu lai,n
take,nare,v
take care,lalu,v
serve,lalu,v
take leave,palango,vi
take out,tao.eele,v
take out from weaving tool,salake,vt
take,kore,vt
take,more,vt
take,nare,vt
take,ngare,vt
take,tare,vt
take,rara,vt
tangled,kahèlu,vi
tap palm,kèri,vt
taste,katède,v
taste,ngao,vt
tasteless,nèta,n
teach,aj'a,v
study,aj'a,v
learn,aj'a,v
teacher,mese,n
tear,ciu,vt
telescope,dino,v
tell,peka,vi
tell a story,lole,vt
temple service,kasasi,v
tens,nguru,num
thanksgiving feast,ringi,v
that,nèi,Deic
that,ea,deic
that big,sangae,adv
that,kèna,adv
just now,kèna,adv
Timor,Sona.Ba'i,n
then,èle ka,cnj
then,hèia,cnj
then,ho,cnj
these,se'e,Deic
they,rèngu,pro
PL,rèngu,pro
they(clitic),ra,pro
thick,kapulu,adj
thick,ma'aa,adj
thin,manii,adj
thing,mèdha,n
good,mèdha,n
think,ngee,vi
third,katèlu,num
this,nenga,deic
thorn,dhudhu,n
those,sèi (REM.SG),Deic
those,sèra (REM.PL),Deic
thousand,riho,num.
thread,hèngu,n.
three,tèlu,num.
throw,core,vt.
throw,pèci,vt.
throw with stick,kahero,vt.
thunder,d'oro,n.
tidy up,jingi,v.
tie,èki,vt.
tiger,meoaasu,n.
tighten,taki,vt.
tight,taki,vi.
time span,patènge,vi.
tin,balee,n.
tiny,iiki,adj.
tip,kabholo,n.
tip,suu,n.
tip,kolo,n.
descent,kolo,n.
to,asa,prep.
to be offended,pasaree,v.
to corner,katate,v.
to insert the weaving stick,dede ose,v.
to filter rice,naniru,v.
to have cock fight,pahua,v.
to hook,ga'e,vt.
to lift,j'oka,vt.
to put tobacco between lips,cag'ig'i,v.
to scratch,kao,vt.
to row,kao,vt.
to stitch together,late,vt.
to,ma,prep.
toward,ma,PART.
to wag,lalète,vt.
tobacco,na'i,n.
to boil,taroto,vt.
to clean,sae,v.
to cool,cuhi,vt.
today,doe ne'e,n.
to filter,saroto,vt.
to fish,ceba,v.
throw,ceba,v.
tomatto,matabai,n.
tomorrow,bèli,n.
too clean,aadha-aadha,adv.
too grey,ti'a-ti'a,adv.
too (little),oode,adv.
too (long),lola-lola,adv.
too many (people),ele ruhu,adv.
too muddy,bhète-bhète,adv.
slimy,bhète-bhète,adv.
too (thick),haki-haki,adv.
too (thin),bedo-bedo (),adv.
too (thin),bhedo-behedo,adv.
too green,bidhu-bidhu,adv.
tool,nanèu,n.
tool,rèka,n.
tools,rog'a₁,n.
too many,ele.madha,n.
too overflow,gari-gari,v.
too red,gèu-gèu,adv.
too smell,hèu.oone-oone,n.
too soundly,goo-goo,adv.
tooth,ngutu,n.
too white,lao-lao,adv.
too yellow,moce-moce,adv.
too yellow,mu'e-mu'e,adv.
top,kolo,n.
to roof,boro,vt.
to span,eèg'e,v.
to span,èèg'e,vi.
toss,core,vt.
to stick,pae,v.
touch,g'ag'e,vt.
touch,katèdhe,vt.
touch,jèji,v.
pound,jèji,v.
toward,mi₁,prep.
trade,daga,vt.
traditional wedding,beg'a kabho,v.
trap,paje,v.
trap,taja,v.
trapped,luu,vi.
sound,luu,vi.
tree's foot,kapua,n.
tribe,udhu-rasa,n.
troubled,carui,n.
trouser,baru,n.
trunk,kapua,n.
try,sèku,v.
measure,sèku,v.
tuft,huru.madha,n.
tuna fish,i'a mabho,n.
turmeric,ka'unyi,n.
turn,bari₁,v.
turn,kabèli,v.
turn,pode,vt.
turn over,pangèd'u,vt.
turning,eo-eo,adv.
turning back,sasigo,n.
turn over,sagèbe,v.
upside-down,sagèbe,v.
turtle,ènyu,n.
turtle,goa-dano,n.
tusk,èli,n.
twinkle,cèba-cèba,vi.
twist,kalèki,v.
twist,karadhe,vt.
two,dua,num.
uhm,ee,Interj.
uncle,to'o,n.
uncooked rice,laludhu,n.
undo,lècu,vt.
unfold,hèle,v.
spread,hèle,v.
unhasked rice,madhaa,n.
unit,bua₂,n.
young,kalicu,n.
unripe,mamadha,n.
until,kore,cnj.
until,toke,prep.
until,nare₁,vt.
until,dai,vi.
reach,dai,vi.
arrive,dai,vi.
upraised,ngede-ngede,v.
ups-down,pasoa,v.
use,pake,vt.
wear,pake,vt.
very,ae₁,adv.
very,bia,adv.
very big,kabhao,n.
very (full),idhu-idhu,adv.
via,re,vi.
through,re,vi.
visit,ngad'o,vt.
voice,lii,n.
vomit,mèdhu₂,v.
waist,kolo keja,n.
wait,mate,vi.
wait,mata,vt.
wake up,kabèdhi,adv.
surprise,kabèdhi,adv.
walk,kako,vi.
walk at the beach,oro₂,vt.
walking staff,tatea,n.
wander,pajo,v.
want,ro'o,vt.
want,ko'o,vt.
want,mo'o,vt.
want,no'o,vt.
want,to'o,vt.
wao,irii,EXCL.
war,musu,n
war,musu,v
wash,basa,adj
wash,lèu,v
wash,base,vt
wash,rase,vt
wash face,riu,v
pointed,riu,v
water,èi,n
water,bui,n
water,bui,vt
water buffalo,kabao,n
watermelon,hua dhimu,n
we (clitic),mi₂,pro
weak,roe,v
molten,roe,v
wean,paluri,v
wean,sabhi,vt
wear,inu,v
wear,silu,v
wear,nèu₂,vt
wear,pasaluu,vt
input,pasaluu,vt
weave,manènu,vt
weave,tèti,vt
weaving motif,hua,n
weaving sword,pasèdhu,n
weaving tool,sasèdhu,n
weaving tool,tatèku,n
week,migu,n
weeping,hoi,n
weighing,tai,v
weight,huri,n
weight,kadhike,n
welcome,sabhu,v
welcome,soru,v
welcome,sapo,vt
well,èi,n
west,haa₁,n
western people,hiladha,n
wet,basa,adj
what,ngaa,Qw
when,lod'o,cnj
when,ropa,cnj
where,mia,Qw
whereas,ngaa te,cnj
while walking,oro-oro,adv
whimper,pasale,vi
whine,pasale,vi
whirligig,pio,n
whisper,paholo,v
whistle,sasoo,vi
white,pudhi,adj
white pepper,lada,n
whittle,pamariu,vt
who,cee,Qw
wicked,sobhu,v
wickedness,babhelu,n
wickedness,katuba,n
evil,katuba,n
wide,bhèla,adj
width,kabhèla,n
wild,bhelu,adj
wild,hui₁,v
wind,ngèlu,n
wing,èla,n
wink,ate,v
wipe,caro,vt
caress,caro,vt
witch,uku.kedi,n
with,tao,vt
with,tao,adv
with,dènge,cnj
and,dènge,cnj
withdraw,bete,v
take out,bete,v
withered,kamale,vi
wobbling,eeko-eeko,adv
woman,bhèni,n
woman's sarong,rabhi,n
womb,dèlu,n
women belt,peni,n
wonder,malaa,v
amazed,malaa,v
wooden box,kele,n
wooden couch,kalaga,n
wooden stick,dèbo,n
Word of God,holonori,n
work,saba,v
work,tao,vt
worm,kalati,n
worship,sogo.tagu,n
worship,paee'a,vt
wound,hisu,n
wow,boo,PART
wrap,hutu,vt
wrap,rapi,vt
wrapped,hahilu,vt
wrinkle,kakulu,adj
write,suri,vt
wrong,sala,adj
wrong,sale,vi
yarn roller,kadea,n
year,tèu,n
yell,pa'oo,vt
yellow,karara,adj
yes,ya,Interj
yesterday,meda,n
you (PL),miu,pro
you (clitic),mu,pro
you (SG),èu,pro
young,ngèru,adj
younger sibling,ari,n
wood,aj'u,
logs,aj'u,
woman,bhèni,
rope,dhari,
rice cake,katuka,
mountain,ledhe,
hill,ledhe,
handkerchief,lesu,
snake,mege,
table,mei,
cat,meo,
teacher,mese,
man,mone,
plate,pega,
women belt,peni,
weaving sword,pasèdhu,
knife,tudi,
lever,adhe,
foot,haga,
leg,haga,
thigh,haleja,
mouth,hèbha,
belly,kabake,
back,kabodho,
brain,kahadhu,
eleven,canguru èci,
twelve,canguru dua,
twenty,dua nguru,
twenty-one,dua nguru èci,
thirty,tèlu nguru,
forty,èpa nguru,
one hundred and one,cangasu èci,
four hundred,èpa ngasu,
one hundred and eleven,cangasu canguru èci,
one point zero one,cariho caguru,
one point one,cariho cangasu,
forty,èpa nguru riho,
one hundred,cangasu riho,
one point five seven three,cariho lèmi ngasu pidhu nguru tèlu,
one per two,camalore,
two one per two,dua dènge camalore,
five one per two,lèmi dènge camalore,
ten one per two,canguru dènge camalore,
first,ka-èci,
second,ka-dua,
third,ka-tèlu,
ninth,ka-ceo,
tenth,ka-canguru,
eleventh,ka-canguru èci,
once,catèka,
twice,dua hari,
three times,tèlu hari,
ten times,canguru hari,
to crow,kokotoo,
to dance,roge,
to spread,manyèba,
to cry,tangi,
to pound,abo,
to pour,bhori,
to hit,game,
to dig,kèi,
to melt,libu,
to fold,lèpe,
to fold leaf,lidhu,
to weave,manènu,
to mix,pakihu,
to make,tao,
to smith,tuku,
to give,hia,
to send,pa'adhu,
to tuck,kiju,
to stick,pae,
to slice,sai,
to show teeth,sangidhi,
to crack,sèg'i,
absolutely complete,aa'i mèu-mèu,
absolutely right,tare'a-re'a,
absolutely right,la-lèke,
anything,nga-ngaa,
anything,ngaa-ngaa,
arrow,isi-kapoke,
bad,aapa,
be careful,paiie,
be cold,maho,
be destroyed,laho,
be right,lèke,
be scattered,bèdi,
be sick,pèda,
big (wood),dèbho,
big,kapai,
large,kapai,
bird,manu-bhui,
blind,bèdhu,
blunt,bhaka,
boy,ana-mone,
brave,bani,
bullet,isi-kasiro,
cackle,koko-oko,
canoe,ana-kèni,
cause to marry,leo èmu,
coconut oil,èi-lèngi,
cold,pacuhi,
crocodile,baki-hoe,
cut into pieces (for animals),sola,
cut into pieces (for human,sole,
vulgar),sole,
deep,marèma,
descendant,ana-èpu,
dew,èi-paringi,
difficult,j'èra,
difficulty,j'a-j'era,
affliction,j'a-j'era,
in labor,j'a-j'era,
dinghy,ana-todha,
dirty water,èi-lobho,
disease,èi-pa-pèda,
dripping,rèji-rèji,
ear,rèu-dhilu,
earrings,ate-ate,
eye,ana-madha,
facedown (for animate),sag'e'ba,
facedown (for inanimate),sag'e'be,
fatherless child,ana-lalu,
finance,doi-dhari,
five,lèmi,
five by five,lèmi-lèmi,
five each,lèmi-lèmi,
flat place,mera,
flowing loose,hae koro-koro,
four,èpa,
four by four,èpa-èpa,
four each,èpa-èpa,
girl,ana-bhèni,
good,be'a,
hair,rèu-kètu,
hard,adhu,
heavy,bia,
heavy,ba-bia,
burden,ba-bia,
how many,baka pèri,
how many per group,pèri-pèri,
I eat (common,ku'a,
polite),ku'a,
I eat (vulgar),ku'e,
in a moment,ciki-diki,
inhabitants,isi-rai,
insider,isi-èmu,
kerosene,èi-mènyi-rai,
key,ga-goe,
king,dhèu-aae,
lie,leko-monya,
lifted up,boti-boti,
long,madhera,
tall,madhera,
many,ae,
medicine,èi-na'i,
nape of neck,hui-kehi,
naptol,èi-pa-mènyi,
narrow,kobo,
nearly,oe-eo,
not to touch,g`a-g'ag'e,
one,èci,
one by one,èci-èci,
one each,èci-èci,
only,dhoka,
only,dho-dhoka,
only,dhoka-dhoka,
palm leaf to make container,rèu-sabha,
panting walk,kako eepo-eepo,
parents,ina-ama,
part of body that is painful,roe,
perfume,èi-hèu mèngi,
place of soaking,edhe,
plants,ana-aj'u,
tree,ana-aj'u,
platform,kalaga-ledo,
poor person,dhèu-sala,
porridge,èi-kabhète,
powder,la-laho,
queen,bhèni-aae,
raffia,loa-nyama,
rainy season,èj'i-lai,
red,mea,
red part (on weaving),ma-mea,
sarong's edge,loa-sebhe,
scattered around,cebe-lebe,
scissors,g'a-g'ute,
seaweed,rèu-èngu,
separation,mae-manyèla,
shade,ma-maho,
shadow,ma-maho,
to shade,ma-maho,
shallow,dara-lobho,
short,bab'a,
shallow,bab'a,
sickness,pa-pèda,
sister,ana-hèni,
slave,ana-tai,
small,ana iiki,
sole,ai-j'èla,
spouse,dhèu-èmu,
sprout of lontar leaf,rèu-kolo,
staggered walk,kako eko-eko,
star,hua-hètu,
sweat,èi-kabhèsu,
swollen,bai,
thick,ma'aa,
thin,manii,
three,tèlu,
three by three,tèlu-tèlu,
three each,tèlu-tèlu,
to accompany,lere,
to answer,dhaa,
to ask many times,bari,
to bake intensively,bhubhu,
to bet,patèka,
to carry (with yoke),dui,
to close,kutu,
to count,iga,
to count,ige,
to cut (with scissors),g'ute,
to deepen,pa-marèma,
to disturb,leko,
to dive,cèle,
to do the closing,ka-kutu,
to face (speaker asks others),tangare,
to face (speaker asks the addressee),tangara,
to fall,bèbhe,
to fight,pag'ag'a,
to give,hie,
to half-cut (for circumcision),bèka,
to half-cut (for coconut),bèke,
to hand over,jole,
to herd,eo,
to hit,gama,
to interfere,la-leko,
to lengthen,pa-madhera,
to lift intensively,dede,
to liken,paloa,
compare,paloa,
to lock,goe,
to overflow (sea water),lala,
to overflow (water in general),lale,
to pacify,paiia,
to persuade,da-dugu,
to point,paj'uj'u,
to praise,koa-kio,
to push,saseti-saseti,
to react,dha-dhaa,
to rinse,lalae,
to sell,pahia,
to sell,pahie,
to shorten,pa-bab'a,
to sleep,bhèj'i,
to step on,j'aj'e-j'aj'e,
to take out continuously,dhèko,
to talk,padhai,
speak,padhai,
to teach (through exercises),aj'e,
to teach (verbally),aj'a,
to tease,dugu,
to thicken,pa-ma'aa,
to throw around,core,
to torn,ciu,
to touch,g'ag'e,
to wean,sabhi,
to wear,nèu,
to widen,pa-bhèla,
to withdraw,bete,
tobacco container,ana-kapepe,
too many,ae-ae,
too muddy,bhète-bhète,
too overflowing,bua gari-gari,
too smell,hèu oone-oone,
twinkle,cèba cèba,
two,dua,
two by two,dua-dua,
two each,dua-dua,
umbrella,la-leo-lèu,
vinegar,èi-kadosa,
voice from the far,dau-dau,
way of accompanying,la-lere,
way of dancing,ra-roge,
way of herding,a-'eo,
way of melting,la-libu,
smithing,la-libu,
way of sleeping,ba-bhèj'i,
closing eyes,ba-bhèj'i,
way of weaning,sa-sabhi,
way of wearing,na-nèu,
style,na-nèu,
what,ngaa,
where,ka mia,
where,ètu mia,
wherever,ètu mia-mia,
who,cee,
whoever,cee-cee,
wide,bhèla,
widow,bhèni-bhalu,
widower,mone-bhalu,
width,ba-bhèla,
wooden mallet,ana-paru,
wooden mallet,ana-pèci,
yarn,loa-hèngu,
Express boat,kapa malai,
to study,aj'a,
to teach,aj'a,
to torn apart,bhèke,
to cleave,bhèke,
to bleat,kabhee,
to inserted,kiju,
to insert,kiju,
be hanged down,lodhe,
to hang down,lodhe,
be soaked,marèi,
to soak,marèi,
to laugh,mari,
to laugh at,mari,
opened teeth,sangidhi,
go see,la-èdhi,
go meet,la-rage,
go fall,la-bèbhe,
go near,la-dètu,
go drawee,la-kajape,
go take,la-are,
thank you, terima kasih,
