oov_word,verse_reference,indonesian_text,dhao_text
sesudahmu,GEN 17:7,"Aku akan meneguhkan perjanjian antara Aku dan kamu, dan keturunan-keturunan sesudahmu dalam generasi mereka, untuk suatu perjanjian yang kekal, yaitu Aku akan menjadi Allah bagimu dan bagi keturunan-keturunan sesudahmu.","Jaꞌa sanèdꞌe taruu lii pajaji Jaꞌa dènge èu, aa dènge ana-èpu èu sèra. Lii pajaji ne maꞌète boe toke taa-taa, lula Jaꞌa neꞌe ka Ama Lamatua nèti èu dènge ana-èpu mu."
suamiku,GEN 18:12,"Jadi, Sara tertawa dalam hatinya dan berkata, “Setelah aku begini tua, apakah aku akan berahi, sementara suamiku juga sudah tua?”","Ropa Sara tadèngi padhue-padhai rèngu se, ka na mari kèmu. Na pangee na, “Jaꞌa dhu heka roto-roto sèmi neꞌe ne, aa dhèu èmu jaꞌa dhu roe nia heka. Tasamia jiꞌi bisa tao sèmi ana ngèru dhu leo-èmu hiu, ho abhu ana?”"
kakakku,GEN 20:4-5,"Namun, Abimelekh belum mendekati Sara dan dia berkata, “Tuhan, apakah Engkau akan membunuh bangsa yang tidak bersalah? Bukankah dia sendiri yang berkata kepadaku, ‘Perempuan ini adalah adikku,’? Lalu, bukankah perempuan itu juga berkata, ‘Laki-laki ini adalah kakakku,’? Aku melakukan ini dalam ketulusan hatiku dan ketidakbersalahan tanganku.”","Hèia Abimelek dhaa, peka na, “Lamatua! Jaꞌa dhae paꞌèci mèka dènge bhèni na. Aa jaꞌa sasala aadꞌo. Abraham unu na ka dhu peka, bhèni na, ana hèni nèngu! Aa bhèni na dhaa sèmi èèna kahèi. Nèti èèna ka, jaꞌa hia dhèu lasi lii dꞌai ne, dènge dꞌara mola. De Lamatua baku padꞌui jaꞌa sasala!”"
syikal,GEN 20:14-16,"Abimelekh mengambil domba, sapi, serta hamba laki-laki dan perempuan, lalu memberikannya kepada Abraham. Abimelekh juga mengembalikan Sara, istri Abraham, kepadanya. Kata Abimelekh, “Lihatlah, negeriku ada di hadapanmu. Tinggallah di mana pun kamu suka.” Abimelekh berkata kepada Sara, “Dengarlah, aku memberikan 1000 syikal perak kepada kakakmu sebagai bukti kesucianmu di hadapan semua orang yang bersama-sama denganmu. Di hadapan semua orang, namamu dibersihkan.”","Èle èèna ka, dhèu aae Abimelek pangèdꞌu hari Sara laꞌe asa Abraham. Ka na peka dènge Sara, “Èèna na, jaꞌa hia ana mone mu doi iia ca riho, sèna ka jꞌajꞌi tadha jaꞌa tao boe sala ngaa-ngaa mi èu. Ho hudꞌi sène, dhèu aaꞌi-aaꞌi ra reꞌa!” Hèia dhèu aae peka dènge Abraham, aku nèngu na, “Kabarai jaꞌa ne, dhu bhoke tèke hia èu. Èu neo pea mi era mia èèna ka, jaꞌa hia èu.” Ka Abimelek hia Abraham sapi, kahibꞌi-kaꞌia, dènge kahibꞌi-kalèbho. Na hia kahèi ènu dhèu mone dènge dhèu bhèni."
menamakan,GEN 21:1-7,"TUHAN mengunjungi Sara seperti yang difirmankan-Nya, dan TUHAN melakukan kepada Sara seperti yang telah difirmankan-Nya. Jadi, Sara mengandung dan melahirkan seorang anak laki-laki bagi Abraham pada masa tuanya, sesuai dengan waktu yang telah difirmankan Allah kepadanya. Abraham menamakan anak yang lahir baginya itu Ishak, yaitu anak yang telah dilahirkan oleh Sara baginya. Lalu, Abraham menyunat Ishak, anak laki-lakinya itu, ketika berumur 8 hari, seperti yang diperintahkan Allah kepadanya. Abraham berumur 100 tahun ketika Ishak lahir. Sara berkata, “Allah telah membuatku tertawa, dan setiap orang yang mendengar hal ini akan tertawa bersamaku.” Dia berkata lagi, “Dahulu, siapakah yang dapat mengatakan kepada Abraham bahwa Sara akan menyusui anak? Namun, aku telah melahirkan seorang anak laki-laki baginya, pada masa tuanya.”","Èle èèna ka, LAMATUA hia Sara mèngi-nale madhutu lii pajaji Na. Lodꞌo Sara dènge babia, Abraham dhu heka le. Ropa Sara nara iisi, umur Abraham dꞌai cangasu tèu kèna. Lodꞌo Sara dꞌai hèru, ka nara iisi ana mone ca dhèu. Ka Abraham pangare ne, Isak (dhu sasoa na ‘na mari’). Sara peka hèi, aku nèngu na, “Ama Lamatua tao jaꞌa mari, lula jaꞌa karejꞌe. Dhèu ae ka dhu pangee na, jaꞌa ètu dꞌara heka sèmi neꞌe ne, abhu heka ana. Masi ka dhèu èmu jaꞌa heka bhoro le, te jaꞌa bisa kora iisi ana hia ne. Èèna na, ladhe dhèu tadèngi jꞌara neꞌe, rèngu aaꞌi-aaꞌi ra mari kahèi dènge jaꞌa ne.” Ropa Isak dꞌai aru lodꞌo, Abraham suna ne, madhutu paredha Ama Lamatua."
makhpela,GEN 23:9,"supaya dia memberikan kepadaku Gua Makhpela, yang adalah miliknya, yang terletak di ujung ladangnya. Biarlah dia memberikannya kepadaku dengan harga penuh sebagai tempat pekuburan di tengah-tengah kamu.”","Peka dènge ne, ladhe na dꞌèi, na pahia dènge jaꞌa loe na, Makpela, dhu ètu karasa oka na. Na manèngi ca ngaa èèna ka, jaꞌa tihe. Jaꞌa neo tihe pamaꞌète kabꞌua na, ètu madha miu aaꞌi-aaꞌi mi, sèna ka rai èèna jꞌajꞌi unu jaꞌa. Jaꞌa neo tao era èèna, jꞌajꞌi mi roꞌa dhèu madhe jiꞌi.”"
basmat,GEN 26:34,"Ketika Esau berumur 40 tahun, dia menikah dengan Yudit anak Beeri, orang Het, dan Basmat anak Elon, orang Het,","Ropa umur Esau dꞌai èpa nguru tèu, na leo dènge bhèni dhèu dua nèti suku Het. Bhèni èci, ana nèti Beeri, ngara na Yudit. Èci hari, ana Elon, ngara na Basmat."
zibeon,GEN 36:2,"Esau mengambil istri dari anak-anak perempuan Kanaan, yaitu Ada, anak Elon, orang Het; Oholibama, anak Ana, anak perempuan Zibeon, orang Hewi;","Esau leo dènge ana bhèni Kanaꞌan dhèu dua. Èci dhèu Het, ana bhèni nèti Elon, ngara na Ada. Dhèu èmu na èci hari, dhèu Hewi, ngara na Oholibama. Ama na, ngara na Anah, aa baki na Sibeon."
timna,GEN 36:10-13,"Inilah nama-nama keturunan Esau: Elifas, anak Ada, istri Esau; Rehuel, anak Basmat, istri Esau. Keturunan Elifas adalah Teman, Omar, Zefo, Gaetam, dan Kenas. Timna adalah gundik Elifas, anak Esau, dan dia melahirkan Amalek bagi Elifas. Itulah keturunan Ada, istri Esau. Inilah keturunan Rehuel: Nahat, Zerah, Syama, dan Miza. Itulah keturunan Basmat, istri Esau.","Ada, dhèu èmu Esau, nara iisi ana mone ca dhèu, ngara na Elifas. Elifas ne, ana mone na, dhèu lèmi, nuka: Teman, Omar, Sefo, Gatam dènge Kenas. Dhèu èmu piara Elifas, ngara na Timna. Nara iisi ana mone ca dhèu, ngara na Amalek. Dhèu èmu Esau, Basmat, nara iisi ana mone ca dhèu, ngara na Rehuel. Rehuel abhu ana mone dhèu èpa, nuka: Nahat, Sera, Syama, dènge Misa."
mimpinya,GEN 37:8,"Saudara-saudaranya berkata kepadanya, “Apa kamu sungguh-sungguh akan memerintah kami? Atau, apa kamu sungguh-sungguh akan menguasai kami?” Mereka pun semakin membencinya karena mimpinya dan karena perkataannya itu.","Hèia ra jèke ne, aku rèngu na, “We! Èu ngee na, èu neo jꞌajꞌi dhèu kapai kèna, ho neo paredha jiꞌi, do?” Taga na lolo lii nii neꞌe, hèia asa ra nasa dènge ne."
syela,GEN 38:5,"Kemudian, dia melahirkan lagi seorang anak laki-laki dan menamainya Syela. Ketika perempuan itu melahirkan anaknya, Yehuda sedang berada di Kezib.","Aa ana ka tèlu, ngara na Sela. Lodꞌo ina na nara iisi Sela na, Yahuda si pidha le asa rae Kesib."
penerang,GEN 1:14-15,"Kemudian, Allah berfirman, “Biarlah ada penerang di cakrawala langit untuk memisahkan siang dari malam, dan biarlah itu ada untuk tanda-tanda dan untuk musim-musim, dan untuk hari-hari serta tahun-tahun, dan biarlah itu menjadi penerang di cakrawala langit, untuk memberikan terang atas bumi.” Demikianlah itu terjadi.","Hèia Ama Lamatua lii hari, aku Nèngu na, “Re bèka dedha, hudꞌi abhu ku mèdha dhu saraa, ho pasaraa rai-haha ne. Hudꞌi abhu mèdha dhu pasaraa re mèu, aa abhu kahèi dhu pasaraa re mèda. Rèngu aaꞌi-aaꞌi se, jꞌajꞌi tadha, ho sèna ka bisa ige lodꞌo, hèru, dènge tèu.” Ropa padhai lii nare sèmi neꞌe, mèdha dhu heo aaꞌi-aaꞌi ra jꞌajꞌi dènge ka."
asyur,GEN 2:14,Nama sungai yang ketiga adalah Tigris yang mengalir di sebelah timur Asyur. Sungai yang keempat adalah Efrat.,"Kacanga ka tèlu, ngara na Tigris. Kacanga neꞌe ka, jꞌajꞌi mi too rai Asyur re ca bèka dhimu. Kacanga ka èpa, ngara na Efrat."
kaulakukan,GEN 3:13,"Lalu, TUHAN Allah berkata kepada perempuan itu, “Apa yang telah kaulakukan?” Perempuan itu menjawab, “Ular itu menipuku, maka aku makan.”","Hèia Ama LAMATUA peka dènge bhèni na, aku Nèngu na, “Nga tao ka, èu adꞌu madha jꞌara èèna?” Ka bhèni ne dhaa, peka na, “Te mege ne ka dhu agꞌo jaꞌa! Nèti èèna ka, jaꞌa kuꞌa.”"
perkenanan,GEN 6:8,"Namun, Nuh mendapat perkenanan di mata TUHAN.",Te ngaa Noh di dhu pakarejꞌe dꞌara LAMATUA.
surut,GEN 8:1,"Lalu, Allah mengingat Nuh, dan segala binatang, dan segala ternak yang bersamanya dalam bahtera itu. Allah membuat angin berembus ke atas bumi sehingga air pun surut.","Masi ka sèmi èèna, Ama Lamatua bhèlu boe Noh si dènge badha-manu aaꞌi-aaꞌi dhu ètu dedha kapa. Hèia Na hia ngèlu gꞌoro, ka èi na kura ka noo-noo."
menantunya,GEN 11:31,"Dari Ur-Kasdim, Terah membawa Abram, anaknya, Lot anak Haran, cucunya, dan Sarai, menantunya, istri Abram, ke tanah Kanaan. Ketika sampai di Haran, mereka menetap di sana.","Ca tèka, Tera nèti ana na Abram, dènge Sarai dhèu èmu Abram, dènge èpu na Lot, lasi tèke eele rae Ur, neo lasi asa rai Kanaꞌan. Te ngaa lasi dꞌai rae Haran, rèngu pea ka ètu èèna."
hebron,GEN 13:18,"Setelah itu, Abram memindahkan tendanya dan tinggal di dekat pohon-pohon tarbantin Mamre, di Hebron. Di sana, dia membangun mazbah bagi TUHAN.","Hèia Abram si lèpa hari asa era pea ra, dhu dètu dènge ajꞌu-ajꞌu aae ètu Mamre, dhu padètu dènge Hebron. Èle èèna ka, na pudhi hadhu tao mei korban ho na mangajꞌi LAMATUA ètu èèna."
kedorlaomer,GEN 14:1,"Pada masa Amrafel, raja Sinear; Ariokh, raja Elasar; Kedorlaomer, raja Elam; dan Tideal, raja Goyim;","Tèu èèna, dhèu aae èpa dhu paꞌèci. Rèngu se ka: Amrafel, dhèu aae rai Sinear. Ariok, dhèu aae rai Elasar, Kedarlaomer, dhèu aae rai Elam. Dènge Tideal, dhèu aae rai Goyim."
bela,GEN 14:2,"mereka mengadakan perang terhadap Bera, raja Sodom; Birsya, raja Gomora; Syinab, raja Adma; Syemeber, raja Zeboim; dan, Zoar, raja Bela.","Lodꞌo èèna, dhèu aae leo dhèu lèmi, paꞌèci kahèi. Nuka: Bera, dhèu aae rai Sodom. Birsa, dhèu aae rai Gomora. Sinab, dhèu aae rai Adema. Semeber, dhèu aae rai Seboim. Dènge Bela, dhèu aae rai Soar. Ka èpa dhèu aae se, lasi pamusu dènge lèmi dhèu aae sèra."
beranak,GEN 17:20,"Mengenai Ismael, Aku telah mendengarkanmu. Lihatlah, Aku telah memberkatinya, membuatnya beranak cucu, dan akan melipatgandakannya menjadi sangat banyak. Darinya akan lahir dua belas raja dan Aku akan menjadikannya bangsa yang besar.","Jaꞌa tadèngi le ngaa dhu èu manèngi kahèi, hia Ismael. Nèti èèna ka, Jaꞌa hia berkat mi nèngu kahèi, aa hia ana-èpu na tabha ae. Bèli-camèdꞌa ana-èpu Ismael ne, jꞌajꞌi mi canguru dua kapala suku. Aa ana-èpu na suku èci dhu kapai."
melayangkan,GEN 19:28,Dia pun melayangkan pandangannya ke arah Sodom dan Gomora serta ke arah seluruh lembah itu. Dia melihat asap yang naik dari kedua kota itu seperti asap perapian.,"Hèia na ladhe sa haha asa Sodom dènge Gomora, aa asa dꞌara mamoo èèna. Na ladhe laꞌa na, sèbꞌu poka-poka sèna, dhu caꞌe asa dedha-liru. Aa ai naꞌe aaꞌi le ngaa-ngaa."
kakakmu,GEN 20:14-16,"Abimelekh mengambil domba, sapi, serta hamba laki-laki dan perempuan, lalu memberikannya kepada Abraham. Abimelekh juga mengembalikan Sara, istri Abraham, kepadanya. Kata Abimelekh, “Lihatlah, negeriku ada di hadapanmu. Tinggallah di mana pun kamu suka.” Abimelekh berkata kepada Sara, “Dengarlah, aku memberikan 1000 syikal perak kepada kakakmu sebagai bukti kesucianmu di hadapan semua orang yang bersama-sama denganmu. Di hadapan semua orang, namamu dibersihkan.”","Èle èèna ka, dhèu aae Abimelek pangèdꞌu hari Sara laꞌe asa Abraham. Ka na peka dènge Sara, “Èèna na, jaꞌa hia ana mone mu doi iia ca riho, sèna ka jꞌajꞌi tadha jaꞌa tao boe sala ngaa-ngaa mi èu. Ho hudꞌi sène, dhèu aaꞌi-aaꞌi ra reꞌa!” Hèia dhèu aae peka dènge Abraham, aku nèngu na, “Kabarai jaꞌa ne, dhu bhoke tèke hia èu. Èu neo pea mi era mia èèna ka, jaꞌa hia èu.” Ka Abimelek hia Abraham sapi, kahibꞌi-kaꞌia, dènge kahibꞌi-kalèbho. Na hia kahèi ènu dhèu mone dènge dhèu bhèni."
kuburkanlah,GEN 23:6,"“Dengarlah kami, ya Tuan, engkau adalah seorang pemimpin besar di tengah-tengah kami. Kuburkanlah jenazah istrimu itu di pekuburan terpilih di tempat kami. Tidak ada satu pun dari kami yang akan menolakmu dari pekuburannya supaya engkau dapat menguburkan orang matimu.”","“Sèmi neꞌe, ama! Nèbhu nare sange neꞌe, jiꞌi se tadhe le ama, dhu sama sèmi ca dhèu, dhèu heka dhu jiꞌi pakabꞌua. De sadꞌi ama dꞌèi rai mia dhu beꞌa, dhu pamèci dènge dadꞌèi ama. Jiꞌi se dhoka ngoꞌo di; dhèu èci sa dhu magee boe.”"
berbulu,GEN 25:25,"Yang pertama lahir, warnanya merah, seluruh tubuhnya seperti jubah berbulu, dan mereka menamainya Esau.","Dhu aꞌa, isi na mea, dènge ngiꞌu na pènu dènge rèu. Nèti èèna ka, ra pangare ne, Esau (dhu sasoa na ‘dènge rèu’)."
buruan,GEN 25:28,"Ishak menyayangi Esau karena dia suka makan hasil buruan Esau. Namun, Ribka menyayangi Yakub.","Isak dꞌèi naꞌa sisi badha hui. Nèti èèna ka, na sue risi Esau. Te ngaa Ribka sue risi Yakob."
memberkatiku,GEN 27:19,"Yakub berkata kepada ayahnya, “Aku Esau, anak sulungmu. Aku telah melaksanakan apa yang Ayah katakan kepadaku. Sekarang, duduklah dan makanlah hasil buruanku ini supaya engkau dapat memberkatiku.”","Ka Yakob dhaa, peka na, “Jaꞌa, Esau ana mone uuru ama ku! Jaꞌa sabꞌe le, madhutu sèmi dhu ama pua deo na. Kèdꞌi, ho muꞌa-minu ka. Lula jaꞌa pananasu kore le sisi badha hui dhu jaꞌa kèti nèti dꞌara jꞌami. Muꞌa, ho èle na, ama pala-bagi jaꞌa mèngi-nale.”"
bungsumu,GEN 29:18,"Yakub mencintai Rahel dan dia berkata, “Aku akan bekerja padamu selama tujuh tahun demi Rahel, anak bungsumu.”","Yakob dꞌèi risi Rahel. Ka na peka dènge Laban, “Ladhe toꞌo ku moꞌo, jaꞌa sabꞌa hia toꞌo ku pidhu tèu, sadꞌi toꞌo ku hia jaꞌa madhèdi dènge Rahel.”"
dudaim,GEN 30:14,"Pada musim panen gandum, Ruben berjalan-jalan dan menemukan buah-buah dudaim di padang, lalu dia membawanya kepada Lea, ibunya. Kemudian, Rahel berkata kepada Lea, “Aku mohon, berikanlah beberapa dudaim anakmu itu kepadaku.”","Ca lodꞌo, lèke dènge hèru puu-gꞌètu are, Ruben laꞌe asa dꞌara jꞌami. Na rage ana aajꞌu ca kapua dhu jꞌajꞌi sèmi èi naꞌi ho hia dhèu bhèni abhu kolo. Ka Ruben nèti hia ina na Lea. Ropa Rahel nèdhi, ka na peka dènge Lea, aku nèngu na, “Aꞌa! Bagi ku jaꞌa ciki, èi naꞌi dhu Ruben nèti èèna.”"
ternakmu,GEN 30:29,"Yakub berkata kepadanya, “Engkau sendiri tahu bagaimana aku melayanimu dan bagaimana keadaan ternakmu bersamaku.","Ka Yakob peka, “Toꞌo! Èu mèdhi unu mu le, sasabꞌa-laꞌa jaꞌa. Nèti èèna ka, badha-manu toꞌo se, bèba-kacanga."
rehuel,GEN 36:4,"Lalu, Ada melahirkan Elifas bagi Esau, Basmat melahirkan Rehuel,","Ada, dhèu èmu uuru Esau, nara iisi Elifas. Basmat matana Rahuel."
onan,GEN 38:4,"Sesudah itu, perempuan itu mengandung lagi dan melahirkan anak laki-laki lagi, dan dia menamainya Onan.","Ana ka dua, ngara na Onan."
berbiji,GEN 1:11,"Allah berfirman, “Biarlah bumi menumbuhkan rerumputan, tumbuh-tumbuhan berbiji, dan pohon buah yang berbuah menurut jenisnya dan berbiji di dalamnya, di atas bumi.” Lalu, jadilah demikian.","Ka Ama Lamatua lii hari, peka na, “Rai hudꞌi pamamuri ku rupa-rupa ana aajꞌu. Sèna ka abhu ajꞌu dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. Sèna ka ajꞌu-ajꞌu se, hua-hela madhutu rupa rèngu.” Ropa padhai lii nare sèmi neꞌe, jꞌajꞌi dènge ka ana aajꞌu aaꞌi-aaꞌi ra."
beranakcuculah,GEN 1:28,"Allah memberkati mereka dan Allah berfirman kepada mereka, “Beranakcuculah dan berlipatgandalah, dan penuhilah bumi, dan kuasailah itu. Berkuasalah atas ikan-ikan di laut, atas burung-burung di udara, dan atas segala yang hidup yang bergerak di bumi.”","Ka Na padhai lii ho sèna ka hia berkat mi rèngu, aku Nèngu na, “Miu hudꞌi bèba-kacanga ku, sèna ka pea papènu rai-haha ne, ho mi ator ne. Jaꞌa hia miu koasa, sèna ka mi ator iꞌa, manu-bhui, dènge badha-manu aaꞌi-aaꞌi ra ètu rai-haha ne."
hawila,GEN 2:11,"Nama sungai yang pertama adalah Pison yang mengelilingi seluruh tanah Hawila, tempat yang ada emasnya.","Kacanga ka èci na, ngara na Pison. Nèngu ka dhu hae pale-lème rai Hawila dhu abhu hualaa ae-ae."
