Pada mulanya , Allah menciptakan langit dan bumi . ||| Uru-uru tèka , Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha .
Kemudian , Abram mengambil semua itu untuk-Nya , dan membelahnya menjadi dua , dan meletakkan belahan-belahan itu berhadapan satu sama lain . Namun , dia tidak membelah burung-burung itu . ||| Ka Abram laꞌe nare badha sèra . Hèia na kacèbꞌe bagi mi dua , sapi , kahibꞌi , dènge kahibꞌi-kalèbho sèra . Ka na pale sisi se mi rai , dhu èci patangara dènge èci , jꞌajꞌi mi dua bꞌaris . Te ngaa na kacèbꞌe boe manu-bhui sèra .
Ketika burung-burung pemangsa mendekati daging-daging itu , Abram menghalau mereka . ||| Ka manu-bhui dhu tema raꞌa sisi sèra , mai ho neo raꞌa sisi seꞌe . Te ngaa Abram bhabhoo eele si .
Ketika matahari mulai terbenam , Abram tertidur lelap . Lihatlah , kegelapan yang mengerikan dan dahsyat meliputinya . ||| Ropa lodꞌo cèna , Abram bhèjꞌi luu . Na nii , kuri na maroga mai sarimu nare nèngu , ka na madhaꞌu titu kèna .
Tuhan berfirman kepada Abram , “ Ketahuilah dengan sungguh-sungguh bahwa keturunanmu akan menjadi orang asing di negeri yang bukan milik mereka . Di sana , mereka akan diperbudak dan ditindas selama 400 tahun . Namun , Aku akan menghukum bangsa yang memperbudak mereka . Setelah itu , mereka akan keluar dari tanah itu dengan membawa banyak harta . Lalu , kamu sendiri akan pergi kepada nenek moyangmu dalam damai dan dikuburkan pada masa tuamu . ||| Ka Ama Lamatua peka dènge ne , “ Abram ! Èèna na èu mamuri toke heka bhoro , aa madhe dènge beꞌa , ka ra padhane èu dènge beꞌa . Te ngaa ana-èpu èu , èèna na jꞌajꞌi dhèu tao mai ètu kabarai dhèu . Ho èèna na , dhèu isi rai sèra , tao si sèmi ènu sa , ka ra ènyi aa pajꞌèra si , toke èpa ngasu tèu . Te , ladhe èèna na , Jaꞌa huku si . Ho èèna na , Jaꞌa kèti hari ana-èpu èu nèti era èèna , aa dènge mèdha-panyau ra ae-ae .
Keturunanmu yang keempat akan kembali ke tempat ini sebab kejahatan orang Amori belum genap . ” ||| Aa èèna na , Jaꞌa ator ho ana-èpu èu dhu ka lèmi kèti hari si asa neꞌe mai . Limuri ne , dhèu Amori dhu pea ètu rai neꞌe . Dhèu seꞌe dhèu bhelu , te ngaa dhae bhelu iia mèka . Ladhe ana-èpu èu sèra lèpa hari asa era neꞌe , Jaꞌa neo pake si ho huku palaho dhèu Amori sèra . Lula dꞌai taa èèna , bhabhelu ra asa hino . ”
Setelah matahari terbenam dan hari sangat gelap , lihat , perapian yang berasap dan obor yang menyala-nyala berjalan di antara potongan-potongan daging itu . ||| Ropa dꞌai mèda sa , cagꞌagꞌa laa ètu era èèna , abhu èru rai èci dhu sèbꞌu poka-poka , dènge badhu ai èci dhu heo , kako re sasanga sisi dua baris se .
Pada hari itu , TUHAN membuat suatu perjanjian dengan Abram , firman-Nya : “ Aku akan memberikan tanah ini kepada keturunanmu , dari sungai Mesir sampai ke sungai besar , yaitu Sungai Efrat , ||| Lodꞌo èèna , LAMATUA paꞌèki lii pajaji dènge Abram . Na peka na , “ Jaꞌa jaji mema èu kèna , bèli-camèdꞌa Jaꞌa pangèdꞌu mi ana-èpu èu rai neꞌe ne , mulai nèti loko Masir , dꞌai loko Efrat ,
yaitu tanah orang Keni , orang Kenas , orang Kadmon , ||| dènge rai dhèu Keni , dhèu Kenas , dhèu Kadmon ,
orang Het , orang Feris , orang Refaim , ||| dhèu Het , dhèu Feris , dhèu Refaim ,
orang Amori , orang Kanaan , orang Girgasi , dan orang Yebus . ” ||| dhèu Amori , dhèu Kanaꞌan , dhèu Girgasi , dènge dhèu Yebus . ”
Pada saat itu , Sarai , istri Abram , tidak mempunyai anak . Sarai mempunyai hamba perempuan dari Mesir bernama Hagar . Lalu , Sarai berkata kepada Abram , “ Lihatlah , TUHAN mencegahku melahirkan anak . Karena itu , aku mohon kepadamu , bersetubuhlah dengan hambaku , mungkin aku dapat memiliki anak melaluinya. ” Abram pun mendengarkan suara Sarai . Jadi , setelah sepuluh tahun lamanya Abram tinggal di tanah Kanaan , Sarai , istri Abram mengambil Hagar , hambanya , orang Mesir itu , dan memberikannya kepada Abram , suaminya , untuk menjadi istrinya . ||| Tèu èèna , Abram lèpa hari le nèti Masir , ka na pea le canguru tèu ètu Kanaꞌan . Dhèu èmu na Sarai abhu mèka kolo . Sarai dènge ènu bhèni ca dhèu nèti Masir , ngara na Hagar . Ca lodꞌo , Sarai peka dènge Abram , aku nèngu na , “ Aꞌa . LAMATUA hia boe jaꞌa ana . De hua iia , lamu jꞌunu dènge ènu jaꞌa , Hagar , sèna ka na hia jaꞌa ana. ” Ka Abram madhutu lii dhèu èmu na . Ka Sarai hia Hagar jꞌajꞌi dhèu èmu ka dua Abram .
Lalu , Abram bersetubuh dengan Hagar sehingga perempuan itu mengandung . Ketika Hagar tahu bahwa dia mengandung , dia pun memandang rendah nyonyanya itu . ||| Hèia Abram jꞌunu dènge Hagar , ka na dènge babia . Ropa Hagar neꞌa nèngu dènge babia le , ka na padedha iisi na , aa na pahae heka Sarai .
Sarai berkata kepada Abram , “ Kiranya penghinaan yang kuterima ini menjadi tanggung jawabmu ! Aku telah memberikan hambaku ke dalam pelukanmu , tetapi ketika dia tahu bahwa dia mengandung , dia memandang rendah aku . Kiranya TUHAN menjadi hakim antara aku dan engkau ! ” ||| Ka Sarai peka dènge Abram , aku nèngu na , “ Jaꞌa ka dhu hia nèngu mi èu jꞌajꞌi dhèu èmu ka dua . Te ngaa ropa na dènge babia , na pusi pahae heka jaꞌa ! Neꞌe ne , sala èu ! De hudꞌi laa , sèna ka LAMATUA ka dhu pamaꞌète lii èdhi dua ti ! Heka èu meꞌa kèna ! ”
Akan tetapi , Abram berkata kepada Sarai , “ Lihatlah , hambamu itu ada dalam kuasamu . Karena itu , perlakukanlah dia menurut yang kaupandang baik. ” Lalu , Sarai memperlakukan Hagar dengan kasar sehingga dia melarikan diri . ||| Ka Abram dhaa , peka na , “ Sèmi neꞌe , wee ! Èu ne , dhèu èmu uru . Aa nèngu , dhèu èmu limuri . De èu ne dhu mèdꞌu paredha . De èu neo tao ne tasamia , èèna ètu èu na ! ” Ka Sarai mulai tao sakaa hua dènge Hagar , hèia na rai .
Malaikat TUHAN menemukan Hagar di dekat mata air di padang belantara . Mata air itu berada di dekat jalan menuju Syur . ||| Na rai dꞌai dꞌara mamoo . Hèia ana pajuu LAMATUA nèti sorga ca dhèu , rage ne dètu dènge madha èi , ètu jꞌara laꞌe asa Sur .
Kata Malaikat itu , “ Hagar , hamba Sarai , dari manakah kamu dan ke mana kamu akan pergi ? ” Jawab Hagar , “ Aku melarikan diri dari Sarai , nyonyaku . ” ||| Ka na lii , aku nèngu na , “ Èu ne Hagar , ènu Sarai . Nga tao ka èu ètu neꞌe ? Èu mai nèti mia , aa lamu mia ? ” Hèia Hagar dhaa , aku nèngu na , “ Jaꞌa rai nèti dꞌara èmu lamatua jaꞌa . ”
Kemudian , Malaikat TUHAN berkata kepadanya , “ Kembalilah kepada nyonyamu dan tunduklah di bawah otoritasnya . ” ||| Ka ana pajuu èèna pamako ne , aku nèngu na , “ Sèmi neꞌe ! Beꞌa risi , èu lèpa hari asa adhe-aai Sarai , lamatua èu . Masi ka na tao èu tasamia èèna ka , sèmi la .
Malaikat TUHAN itu juga berkata , “ Aku akan melipatgandakan keturunanmu sehingga jumlahnya akan menjadi terlalu banyak untuk dihitung . ” ||| Baku madhaꞌu . Bèli-camèdꞌa , Jaꞌa pabèba ana-èpu èu paꞌae-ae , toke dhèu ige rare boe .
Lalu , Malaikat TUHAN itu berkata lagi kepadanya , “ Dengar , kamu sedang mengandung dan akan melahirkan anak laki-laki . Kamu akan menamainya Ismael sebab TUHAN telah mendengar tentang penderitaanmu . ||| Èu dhu dènge babia . Nèbhu heka , èu mora iisi ana mone ca dhèu . Èèna na mu pangare ne Ismael ( dhu sasoa na ‘ Lamatua tadèngi ’ ) , lula LAMATUA tadèngi le lii roma iisi èu .
Dia akan menjadi manusia yang seperti keledai liar . Tangannya akan melawan setiap orang , dan tangan setiap orang akan melawannya . Dia akan tinggal berseberangan dengan semua saudaranya . ” ||| Ropa ana ne kapai , na mamuri pakajꞌèu nèti aꞌari na . Lula nèngu ne , sama sèmi jara hui dhu dꞌèi boe nanene lii paredha . Sadꞌi dhèu cee èèna ka , na sisu . Aa dhèu aaꞌi-aaꞌi labꞌa ne kahèi . ”
Lalu , Hagar memanggil nama TUHAN yang berbicara kepadanya itu dengan sebutan , “ Engkaulah El-Roi ! ” sebab katanya , “ Sungguhkah di sini aku telah melihat Dia yang telah melihat aku ? ” ||| Ropa tadèngi nare , Hagar ngee ka ètu dꞌara na , aku nèngu na , “ Jaꞌa kèdhi le LAMATUA , dhu ladhe-leru aa madhenge jaꞌa. ” Hèia na hia ngara mi Lamatua , “ Lamatua dhu ladhe-leru jaꞌa . ”
Itulah sebabnya , mata air itu dinamakan sumur Lahai-Roi , yang terletak di antara Kadesh dan Bered . ||| Nèti èèna ka , dhèu pangare madha èi na , Beer Lahai Roi , dhu sasoa na “ Madha èi nèti Nèngu dhu mamuri , dhu ladhe-leru jaꞌa. ” Era na , ètu talora aae nèti rae Kades dènge rae Beret . Madha èi ne , abhu era toke dꞌai sange neꞌe .
Kemudian , Hagar melahirkan anak laki-laki bagi Abram , dan Abram menamai anak itu Ismael . ||| Èle èèna ka , Hagar lèpa hari . Hèia nara iisi ana mone ca dhèu . Abram pangare ne Ismael .
Abram berumur 86 tahun ketika Hagar melahirkan Ismael baginya . ||| Lodꞌo Hagar nare iisi Ismael , umur Abram 86 ( aru nguru èna ) tèu kèna .
Ketika Abram berumur 99 tahun , TUHAN menampakkan diri kepada Abram dan berkata kepadanya , “ Akulah Allah Yang Mahakuasa , hiduplah di hadapan-Ku tanpa cela . ||| Ropa umur Abram dꞌai 99 ( ceo nguru ceo ) tèu , LAMATUA mai padꞌelo iisi dènge ne . Ka Na peka dènge Abram , aku Nèngu na , “ Jaꞌa ne , Ama Lamatua dhu Koasa Risi Eele . Èu hudꞌi madhutu taruu dadꞌèi Jaꞌa , dènge jꞌara mamuri èu hudꞌi mola .
Aku akan mengadakan perjanjian antara Aku dan kamu , dan Aku akan melipatgandakanmu menjadi sangat banyak . ” ||| Jaꞌa neo paꞌèki lii pajaji dènge èu . Aa Jaꞌa neo pabèba kacanga ana-èpu èu . ”
Lalu , Abram tersungkur dengan wajahnya dan Allah berfirman kepadanya , ||| Hèia Abram patitu kètu urutuu , ka na pacudꞌu kètu dꞌai rai . Ka Ama Lamatua tuhu hari lii padhai lii Na , aku Nèngu na ,
“ Dari pihak-Ku , lihatlah , perjanjian-Ku adalah denganmu : kamu akan menjadi bapak dari banyak bangsa . Kamu juga tidak akan disebut Abram lagi , melainkan Abraham karena Aku telah menjadikanmu bapak dari banyak bangsa . ||| “ Lii pajaji Jaꞌa dènge èu sèmi neꞌe ka : èèna na , èu jꞌajꞌi bèi-baki nèti suku ae-ae . Nèti èèna ka , èu pake ia ka ngara èu Abram ( dhu sasoa na ‘ ama dhu dhèu tadhe ’ ) , te ngaa Abraham ( dhu sasoa na ‘ bèi-baki nèti suku ae-ae ’ ) .
Aku akan membuat keturunanmu sangat banyak , Aku akan menjadikanmu bangsa-bangsa , dan raja-raja akan muncul darimu . ||| Jaꞌa neo pabèba kacanga ana-èpu èu ae-ae . Jaꞌa pajꞌajꞌi si suku ae-ae . Aa Jaꞌa dedꞌe dhèu aae ae nèti rèngu sèra .
Aku akan meneguhkan perjanjian antara Aku dan kamu , dan keturunan-keturunan sesudahmu dalam generasi mereka , untuk suatu perjanjian yang kekal , yaitu Aku akan menjadi Allah bagimu dan bagi keturunan-keturunan sesudahmu . ||| Jaꞌa sanèdꞌe taruu lii pajaji Jaꞌa dènge èu , aa dènge ana-èpu èu sèra . Lii pajaji ne maꞌète boe toke taa-taa , lula Jaꞌa neꞌe ka Ama Lamatua nèti èu dènge ana-èpu mu .
Aku akan memberikan kepadamu dan kepada keturunan-keturunan sesudahmu , negeri yang kamu tinggali sementara ini , yaitu seluruh tanah Kanaan , sebagai milikmu selama-lamanya , dan Aku akan menjadi Allah mereka . ” ||| Rai Kanaꞌan ne aaꞌi-aaꞌi , bèli-camèdꞌa Jaꞌa hia mi èu dènge ana-èpu èu . Neꞌe ne , èu dhoka pea manubha di ètu neꞌe . Te ngaa èèna na , jꞌajꞌi mi unu ana-èpu èu toke taa-taa . Aa Jaꞌa jꞌajꞌi Ama Lamatua rèngu sèra kahèi .
Lalu , Allah berkata kepada Abraham , “ Untukmu , kamu harus memegang teguh perjanjian-Ku , kamu dan keturunan-keturunan sesudahmu dalam generasi mereka . Inilah perjanjian-Ku yang harus kamu pegang teguh , antara Aku , dan kamu , dan keturunan-keturunan sesudahmu , yaitu setiap anak laki-laki di antara kamu harus disunat . ||| Te ngaa èu dènge ana-èpu èu sèra , hudꞌi kèpe paꞌèra lii pajaji ne , dènge dꞌara kateme ku . Dhèu mone aaꞌi-aaꞌi ra , hudꞌi suna ku .
Kamu harus memotong kulit khitanmu , dan itu akan menjadi tanda perjanjian antara Aku dan kamu . Setiap bayi laki-laki yang berumur 8 hari dalam keturunanmu juga harus disunat , baik yang lahir di rumahmu ataupun yang kamu beli dari orang asing , yaitu mereka yang tidak termasuk dalam keturunanmu . Jadi , baik yang lahir di rumahmu maupun yang dibeli dengan uangmu , mereka harus disunat . Dengan begitu , perjanjian-Ku ada dalam dagingmu sebagai perjanjian yang kekal . ||| Neꞌe ne , mone aaꞌi-aaꞌi hudꞌi suna , mulai nèti umur aru lodꞌo . Aꞌari èu , dhèu-dhèu sabꞌa èu , dènge ènu dhu èu hèli more nèti rai leo , aaꞌi-aaꞌi ra hudꞌi suna si . Suna na jꞌajꞌi tadha mi ngiꞌu miu , dhu paꞌèki èdhi taa-taa .
Namun , laki-laki yang tidak disunat , yaitu yang kulit khatannya tidak dipotong , dia harus disingkirkan dari bangsanya sebab dia telah mengingkari perjanjian-Ku . ” ||| Mone mia dhu suna boe , rèngu sèra maso boe ètu dꞌara lii pajaji Jaꞌa ne , aa rèngu sèra jꞌajꞌi boe dhèu Jaꞌa kahèi . ”
Kemudian , Allah berfirman kepada Abraham , “ Mengenai istrimu , Sarai , kamu tidak akan memanggilnya Sarai lagi , melainkan Sara , itulah namanya . ||| Èle èèna ka , Ama Lamatua peka hari , aku Nèngu na , “ Nèti deo neꞌe ne , èu paroa ia ka ngara dhèu èmu mu Sarai , te ngaa Sara .
Aku akan memberkatinya dan akan memberikan anak laki-laki kepadamu melalui dia . Aku akan memberkatinya sehingga dia akan menjadi ibu dari bangsa-bangsa dan raja-raja banyak bangsa akan berasal darinya . ” ||| Èèna na Jaꞌa hia mamèngi ae-ae mi Sara , sèna ka nara iisi hia èu , ana mone ca dhèu . Tareꞌa ! Bèli-camèdꞌa , Sara jꞌajꞌi bèi nèti suku ae-ae . Aa èèna na , Jaꞌa dedꞌe dhèu aae ae-ae nèti ana-èpu nèngu . ”
Lalu , Abraham tersungkur dengan mukanya sampai menyentuh tanah , dan tertawa sambil berkata dalam hatinya , “ Mungkinkah seorang anak dilahirkan bagi dia yang berumur 100 tahun ? Mungkinkah Sara , yang berumur 90 tahun , melahirkan anak ? ” ||| Hèia Abraham patitu kètu urutuu ka pacudꞌu kètu dꞌai rai . Te ngaa na mari ètu dꞌara . Na pangee , na , “ Mone heka bhora dhu cangasu tèu sama sèmi jaꞌa ne , bisa abhu ana era ? Aa Sara dhu heka gagoo-gagehu ne , dhu ceo nguru tèu kèna , nara iisi hari sa mia ? ”
Lalu , berkatalah Abraham kepada Allah , “ Oh , biarlah Ismael diperkenankan hidup di hadapan-Mu . ” ||| Ka na peka dènge Lamatua , aku nèngu na , “ Hudꞌi ka laa , Ismael ka dhu abhu pusaka jaꞌa èèna ka , ngaa-ngaa tao boe . ”
Akan tetapi , Allah berfirman , “ Sungguh ! Sara , istrimu , akan melahirkan anak laki-laki bagimu dan kamu akan menamainya Ishak . Aku akan meneguhkan perjanjian-Ku dengannya sebagai perjanjian kekal yang akan berlaku sampai kepada keturunan-keturunannya setelah dia . ||| Te ngaa aku Ama Lamatua na , “ Aadꞌo sèmi èèna ! Bèli-camèdꞌa , dhèu èmu mu Sara , nara iisi ana mone ca dhèu . Pangare ne Isak . Lii jaji Jaꞌa ne , lèke mi nèngu dènge ana-èpu na toke mia-mia .
Mengenai Ismael , Aku telah mendengarkanmu . Lihatlah , Aku telah memberkatinya , membuatnya beranak cucu , dan akan melipatgandakannya menjadi sangat banyak . Darinya akan lahir dua belas raja dan Aku akan menjadikannya bangsa yang besar . ||| Jaꞌa tadèngi le ngaa dhu èu manèngi kahèi , hia Ismael . Nèti èèna ka , Jaꞌa hia berkat mi nèngu kahèi , aa hia ana-èpu na tabha ae . Bèli-camèdꞌa ana-èpu Ismael ne , jꞌajꞌi mi canguru dua kapala suku . Aa ana-èpu na suku èci dhu kapai .
Namun , Aku akan meneguhkan perjanjian-Ku dengan Ishak , yang akan dilahirkan Sara bagimu , pada waktu seperti ini , tahun depan . ” ||| Masi ka sèmi èèna , lii pajaji Jaꞌa ne , lèke dhoka mi ana mu Isak di . Tèu mai ni , hèru sèmi neꞌe kahèi , Sara nara iisi le . ”
Setelah selesai berfirman kepada Abraham , pergilah Allah dari Abraham . ||| Ropa padhai lii nare , ka Ama Lamatua tèke eele Abraham .
Kemudian , Abraham mengambil Ismael , anaknya , dan semua yang lahir di rumahnya , dan semua yang dibelinya dengan uang , semua laki-laki di rumah Abraham , dan dia menyunat mereka pada hari itu juga , sesuai dengan yang difirmankan Allah kepadanya . Abraham berumur 99 tahun ketika dia disunat , dan Ismael , anak laki-lakinya , berumur 13 tahun ketika disunat . Abraham dan anak laki-lakinya disunat pada hari yang sama . Semua laki-laki yang berada di rumah Abraham , baik yang lahir di dalam rumahnya maupun yang dibelinya dari orang asing , disunat juga bersama-sama dengannya . ||| Lodꞌo èèna kahèi , Abraham tao dènge ka , madhutu sèmi lii paredha Ama Lamatua . Ka na suna . Na suna ana na , Ismael , dènge dhèu mone aaꞌi-aaꞌi dhu pea dènge ne . Lodꞌo èèna , umur Abraham 99 ( ceo nguru ceo ) tèu le , aa Ismael 13 ( canguru tèlu ) tèu .
TUHAN menampakkan diri kepada Abraham di dekat pohon-pohon tarbantin Mamre , ketika dia duduk di pintu tendanya , pada suatu hari yang panas terik . ||| Ca tèka , Abraham pea padètu dènge ajꞌu aae canau ètu Mamre . LAMATUA mai padꞌelo iisi Na mi nèngu ètu era èèna . Lii lolo na sèmi neꞌe ka : lodꞌo èèna , sagoro ae titu kèna , ka Abraham madhèdi ètu hèbꞌa paleo na , sèna ka abhu ngèlu gꞌoro ciki .
Abraham mengarahkan matanya dan melihat , tampak ada tiga orang yang berdiri di depannya . Ketika dia melihat mereka , dia berlari dari pintu tendanya untuk menyambut mereka , lalu dia membungkukkan dirinya ke tanah , ||| Ropa Abraham boti kètu na , ladhe nèdhi dhèu tèlu dhu titu kajꞌèu boe nèti era èèna . Hèia na rai laꞌe soru nare si . Ropa na dꞌai madha si , na patitu kètu urutuu na ,
dan berkata , “ Tuanku , jika pada saat ini aku mendapat perkenanan di matamu , janganlah berlalu dari hambamu ini begitu saja . ||| ka na peka , aku nèngu na , “ Ama si . Mai dhuli ku ho minu èi ciki .
Aku mohon kepadamu , biarlah diambil sedikit air dan cucilah kakimu , lalu beristirahatlah di bawah pohon ini . ||| Ama si ae ciki mi mamaho neꞌe . Ho ana-ana iiki rèti èi , sèna ka rasa haga miu .
Aku akan mengambil sepotong roti dan akan menyegarkan hatimu . Setelah itu , Tuan-tuan dapat berlalu sebab Tuan-tuan telah singgah kepada hambamu ini. ” Mereka berkata , “ Jadi , lakukanlah seperti yang telah kaukatakan itu . ” ||| Pe jaꞌa laku lalau ngangaꞌa-nginu ho ama si miꞌa ciki , sèna ka ako kadhii ciki , heka lami taruu kèna . Te jaꞌa karejꞌe bisa lalau ama si. ” Ka ra dhaa , aku rèngu na , “ Ooo . Jiꞌi dhuli . ”
Abraham cepat-cepat masuk ke dalam tenda , kepada Sara , dan berkata , “ Cepat ! Ambillah 3 sukat tepung yang baik , remaslah , dan buatlah roti-roti bundar . ” ||| Hèia Abraham pamèri sa dꞌara paleo , laꞌe peka dènge Sara , aku nèngu na , “ Mèri ! More tarigu dhu beꞌa risi , ca saku , ho tao roti ! ”
Kemudian , Abraham berlari menuju kawanan sapinya dan mengambil seekor anak sapi yang empuk dan baik , lalu dia menyerahkannya kepada seorang muda , dan orang itu segera mengolahnya . ||| Ka rai laꞌe hari asa era sapi na , hèia kèpe ana sapi kabèbꞌu ciꞌu . Ka na pua dhèu sabꞌa na sa , pare .
Lalu , dia mengambil dadih dan susu , serta sapi yang sudah diolah itu , kemudian dia meletakkannya di hadapan ketiga orang itu . Dia berdiri di dekat mereka di bawah pohon , lalu mereka pun makan . ||| Hèia laꞌe nare susu , keju dènge sisi dhu heka nasu èèna , nèti hia tamu sèra raꞌa . Abraham titu taruu ètu mamaho ajꞌu , ho na lalau si .
Setelah itu , mereka berkata kepadanya , “ Di mana Sara , istrimu ? ” Dia berkata , “ Di sana , di dalam tenda . ” ||| Hèia ra karèi ne , aku rèngu na , “ Dhèu èmu mu Sara , ka mia ? ” Na dhaa , aku nèngu na , “ Nuka dꞌara paleo èèna . ”
Lalu , Dia berkata , “ Kelak , Aku pasti kembali lagi kepadamu . Lihatlah , Sara , istrimu , akan mempunyai seorang anak laki-laki. ” Sara mendengarnya dari pintu tenda , di belakang orang itu . ||| Ka ca dhèu nèti rèngu se padhai lii , aku nèngu na , “ Pe dꞌai tèu mai nèi , Jaꞌa lèpa hari mai . Lodꞌo èèna , dhèu èmu èu Sara nare iisi le ana mone ca dhèu. ” Ropa rèngu padhai lii èèna , Sara nanene nèti kabodho babèdho .
Abraham dan Sara sudah tua , mereka telah lanjut umur , Sara pun sudah tidak haid . ||| Lodꞌo èèna , Abraham dènge Sara dhu heka bhoro le , ngaa hari Sara dhu abhu heka hèru .
Jadi , Sara tertawa dalam hatinya dan berkata , “ Setelah aku begini tua , apakah aku akan berahi , sementara suamiku juga sudah tua ? ” ||| Ropa Sara tadèngi padhue-padhai rèngu se , ka na mari kèmu . Na pangee na , “ Jaꞌa dhu heka roto-roto sèmi neꞌe ne , aa dhèu èmu jaꞌa dhu roe nia heka . Tasamia jiꞌi bisa tao sèmi ana ngèru dhu leo-èmu hiu , ho abhu ana ? ”
Lalu , TUHAN berkata kepada Abraham , “ Mengapa Sara tertawa dan berkata , ‘ Apakah aku benar-benar akan melahirkan anak padahal aku sudah tua ? ’ ||| Ka LAMATUA peka dènge Abraham , aku Nèngu na , “ Nga tao ka Sara mari ? Ele boe na ngee na , lii padhai Jaꞌa ne jꞌajꞌi boe , lula nèngu heka le .
Adakah sesuatu yang mustahil bagi TUHAN ? Pada waktu yang telah ditetapkan , Aku akan kembali kepadamu , dan pada waktu itu Sara akan mempunyai anak laki-laki . ” ||| Jaꞌa ne , LAMATUA ! Abhu boe ngaa èci sa dhu Jaꞌa bisa boe tao . Sanèdꞌe paie . Tèu mai , ladhe Jaꞌa lèpa hari mai , Sara dhu nara iisi le , ana mone ca dhèu . ”
Akan tetapi , Sara menyangkalnya dan berkata , “ Aku tidak tertawa , ” karena dia takut . Namun , Dia berkata , “ Tidak ! Kamu memang tertawa ! ” ||| Ropa tadèngi lii èèna , Sara jꞌajꞌi madhaꞌu . Ka na pasili , aku nèngu na , “ Jaꞌa mari boe , nga ! ” Te ngaa Lamatua bꞌala , na , “ Deo na , èu mari , nga . ”
Kemudian , orang-orang itu bangun dari situ dan mereka memandang ke arah Sodom , dan Abraham berjalan bersama mereka untuk mengantar mereka . ||| Èle ka , dhèu tèlu se pakèdꞌi neo lasi asa kota Sodom . Ka Abraham lere si dꞌai talora jꞌara . Nèti era èèna , ladhe rèdhi kota Sodom .
TUHAN berkata , “ Apakah Aku harus merahasiakan kepada Abraham tentang apa yang akan Aku lakukan , ||| Ka LAMATUA ngee ètu dꞌara Na , “ Hua iia Jaꞌa peka dènge Abraham , Jaꞌa neo palaho kota Sodom .
sedangkan Abraham pasti akan menjadi bangsa yang besar dan berkuasa , dan melaluinya seluruh bangsa di bumi akan diberkati ? ||| Te ladhe èèna na , ana-èpu na asa tabha ae , aa suku dhu kapai . Aa nèngu ne , èèna na , jꞌajꞌi berkat mi suku aaꞌi-aaꞌi ètu rai-haha ne .
Sebab Aku telah mengenalnya , dia akan memerintahkan kepada anak-anaknya dan seisi rumahnya sesudah dia untuk hidup sesuai jalan TUHAN dengan melakukan kebenaran dan keadilan sehingga TUHAN akan memberikan kepada Abraham apa yang telah dijanjikan-Nya kepadanya . ” ||| Jaꞌa hagꞌe kore le nèngu , ho na nori ana-èpu na dènge dhèu leo , sèna ka madhutu taruu jꞌara LAMATUA , ho ra mamuri dènge mola . Ladhe rèngu mamuri sèmi èèna , Jaꞌa tao aaꞌi lii dhu Jaꞌa pajaji dènge Abraham . ”
Kemudian TUHAN berkata , “ Karena teriakan tentang Sodom dan Gomora sangat keras , dan karena dosa mereka terlampau berat , ||| Hèia LAMATUA peka dènge Abraham , aku Nèngu na , “ Sèmi neꞌe ! Jaꞌa tadèngi le , lii roma iisi dhèu ae , peka na , dhèu kota Sodom dènge Gomora bhabhelu ra seli-kolane .
Aku akan turun sekarang untuk melihat apakah mereka benar-benar telah melakukan semua itu sesuai dengan teriakan yang sampai kepada-Ku ? Jika tidak , Aku akan mengetahuinya . ” ||| Nèti èèna ka , Jaꞌa puru madha ku mai , sèna ka kèdhi unu ku , ngaa dhu Jaꞌa tadèngi sèra , tareꞌa , do aadꞌo . Ladhe aadꞌo , pe Jaꞌa keꞌa unu ku . ”
Kemudian , orang-orang itu berbalik dari sana dan berangkat menuju Sodom , tetapi Abraham masih berdiri di hadapan TUHAN . ||| Ropa LAMATUA padhai lii era dènge Abraham , dhèu dua se lasi taruu sa kota Sodom .
Lalu , Abraham mendekat dan bertanya , “ Apakah Engkau benar-benar akan membinasakan orang-orang benar bersama-sama dengan orang jahat ? ||| Hèia Abraham laꞌe padètu dènge Lamatua , ka na pamako Na , peka na , “ Tasamia ? Ama neo pamadhe aaꞌi dhèu-dhèu beꞌa paꞌèci dènge dhèu-dhèu bhelu , do ?
Seandainya ada lima puluh orang benar di kota itu , apakah Engkau akan benar-benar membinasakan dan tidak menyayangkan kota itu demi lima puluh orang benar di dalamnya ? ||| Ladhe abhu dhèu lèmi nguru dhu beꞌa ètu dꞌara kota èèna , Ama pamadhe si hèi ? Do , Ama palaho heka kota sèra , lula rèngu seꞌe , do ?
Kiranya , jauh dari-Mu untuk melakukan hal itu , membinasakan lima puluh orang benar bersama-sama dengan orang jahat . Kiranya hal itu jauh dari-Mu ! Bukankah Hakim Semesta Bumi akan berlaku adil ? ” ||| Ama baku tao sèmi èèna ! Mage dhoka , dhèu beꞌa sèra madhe hèi , lula Ama neo pamadhe dhèu bhelu sèra . Ama ka dhu pamaꞌète lii ètu dedha-liru dènge rai-haha . De Ama ku unu Mu dhu meꞌa jꞌara èèna adil boe . ”
TUHAN berkata , “ Jika Aku mendapati lima puluh orang benar di kota Sodom , Aku akan menyayangkan seluruh tempat itu demi mereka . ” ||| Ka LAMATUA dhaa , peka na , “ Ladhe abhu dhèu beꞌa lèmi nguru dhèu ètu kota Sodom , Jaꞌa huku boe kota èèna , lula rèngu . ”
